variable,name_in_xlsforrm,value,label_en,label_ne
b_empl_trsm_major_districts,,38,,
b_empl_trsm_major_districts,,39,,
b_empl_trsm_major_districts,,40,,
b_empl_trsm_major_districts,,41,,
b_empl_trsm_major_districts,,42,,
b_empl_trsm_major_districts,,43,,
b_empl_trsm_major_districts,,44,,
b_empl_trsm_major_districts,,45,,
b_empl_trsm_major_districts,,46,,
b_empl_trsm_major_districts,,47,,
b_empl_trsm_major_districts,,48,,
b_empl_trsm_major_districts,,49,,
b_empl_trsm_major_districts,,50,,
b_empl_trsm_major_districts,,51,,
b_empl_trsm_major_districts,,52,,
b_empl_trsm_major_districts,,53,,
b_empl_trsm_major_districts,,54,,
b_empl_trsm_major_districts,,55,,
b_empl_trsm_major_districts,,56,,
b_empl_trsm_major_districts,,57,,
b_empl_trsm_major_districts,,58,,
b_empl_trsm_major_districts,,59,,
b_empl_trsm_major_districts,,60,,
b_empl_trsm_major_districts,,61,,
b_empl_trsm_major_districts,,62,,
b_empl_trsm_major_districts,,63,,
b_empl_trsm_major_districts,,64,,
b_empl_trsm_major_districts,,65,,
b_empl_trsm_major_districts,,66,,
b_empl_trsm_major_districts,,67,,
b_empl_trsm_major_districts,,68,,
b_empl_trsm_major_districts,,69,,
b_empl_trsm_major_districts,,70,,
b_empl_trsm_major_districts,,71,,
b_empl_trsm_major_districts,,72,,
b_empl_trsm_major_districts,,73,,
b_empl_trsm_major_districts,,74,,
b_empl_trsm_major_districts,,75,,
b_empl_trsm_major_districts,,76,,
b_empl_trsm_major_districts,,77,,
b_empl_trsm_org,,1,,
b_empl_trsm_org,,2,,
b_empl_trsm_org,,3,,
b_empl_trsm_org,,4,,
b_empl_trsm_org,,5,,
b_empl_trsm_org,,6,,
b_empl_trsm_org,,7,,
b_empl_trsm_org,,8,,
b_empl_trsm_org,,Other,,
o_rcvry_chllng_trsm_revival,,1,,
o_rcvry_chllng_trsm_revival,,2,,
o_rcvry_chllng_trsm_revival,,3,,
o_rcvry_chllng_trsm_revival,,4,,
o_rcvry_chllng_trsm_revival,,5,,
o_rcvry_chllng_trsm_revival,,6,,
o_rcvry_chllng_trsm_revival,,7,,
o_rcvry_chllng_trsm_revival,,Other,,
b_empl_occpatn_pre_covid,,1,,
b_empl_occpatn_pre_covid,,2,,
b_empl_occpatn_pre_covid,,3,,
b_empl_occpatn_pre_covid,,4,,
b_empl_occpatn_pre_covid,,5,,
b_empl_occpatn_pre_covid,,6,,
b_empl_occpatn_pre_covid,,7,,
b_empl_occpatn_pre_covid,,8,,
b_empl_occpatn_pre_covid,,9,,
b_empl_occpatn_pre_covid,,10,,
b_empl_occpatn_pre_covid,,11,,
b_empl_occpatn_pre_covid,,12,,
b_empl_occpatn_pre_covid,,13,,
b_empl_occpatn_pre_covid,,14,,
b_empl_occpatn_pre_covid,,15,,
b_empl_occpatn_pre_covid,,16,,
b_empl_occpatn_pre_covid,,Other,,
o_rcvry_chllng_trsm_revival,,1,,
o_rcvry_chllng_trsm_revival,,2,,
o_rcvry_chllng_trsm_revival,,3,,
o_rcvry_chllng_trsm_revival,,4,,
o_rcvry_chllng_trsm_revival,,5,,
o_rcvry_chllng_trsm_revival,,6,,
o_rcvry_chllng_trsm_revival,,7,,
o_rcvry_chllng_trsm_revival,,Other,,
o_impct_to_self_nxt_6_mnths,,1,,
o_impct_to_self_nxt_6_mnths,,2,,
o_impct_to_self_nxt_6_mnths,,3,,
o_impct_to_self_nxt_6_mnths,,4,,
o_impct_to_self_nxt_6_mnths,,5,,
o_impct_to_self_nxt_6_mnths,,6,,
o_impct_to_self_nxt_6_mnths,,7,,
o_impct_to_self_nxt_6_mnths,,8,,
o_impct_to_self_nxt_6_mnths,,9,,
o_impct_to_self_nxt_6_mnths,,Other,,
