"variable","value","total","perc_of_total","label_ne","label_en","choice_code","variable_group"
"i_empl_jb_prsnt_status","3",137,"0.7135417","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)","No, currently unemployed but looking for work",25,"Impact"
"i_empl_jb_prsnt_status","4",2,"0.0104167","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु","No, completely left",26,"Impact"
"i_empl_lst_date_full_salary","1",153,"0.796875","कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले) (Before March 2020)","Before March 2020",27,"Impact"
"i_empl_lst_date_full_salary","2",14,"0.0729167","बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)","Between March and September 2020",28,"Impact"
"i_empl_lst_date_full_salary","3",7,"0.0364583","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)","Between October and December 2020",29,"Impact"
"i_empl_lst_date_full_salary","4",16,"0.0833333","माघ २०७७ पछि (After December 2021)","After December 2021",30,"Impact"
"i_empl_lst_date_full_salary","5",2,"0.0104167","मेरो पूर्ण तलब (आम्दानी)मा कोभिड-१९ले कुनै असर नगरेको","No change due to Covid 19",31,"Impact"
"i_hlth_covid_infectn_family","1",16,"0.0833333","छ/थियो","Yes",32,"Impact"
"i_hlth_covid_infectn_family","2",176,"0.9166667","छैन/थिएन","No",33,"Impact"
"i_hlth_covid_infectn_self","1",11,"0.0572917","छ/थियो","Yes",34,"Impact"
"i_hlth_covid_infectn_self","2",181,"0.9427083","छैन/थिएन","No",35,"Impact"
"i_hlth_covid_infectn_self_time","1",1,"0.0909091","बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)","Between March and September 2020",36,"Impact"
"i_hlth_covid_infectn_self_time","2",8,"0.7272727","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)","Between October and December 2020",37,"Impact"
"i_hlth_covid_infectn_self_time","3",2,"0.1818182","माघ २०७७ पछि (After December 2021)","After December 2021",38,"Impact"
"i_lvlhd_domicile_chng_self","1",47,"0.2447917","पर्यो, तर म फेरि त्यहि ठाउँमा आई सकेको छु","Yes, but I've moved back since",39,"Impact"
"i_lvlhd_domicile_chng_self","2",46,"0.2395833","पर्यो, म त्यहि गाउँ/सहरको अर्को ठाउँमा सरेको छु","Yes, switched to a different neighbourhood",40,"Impact"
"i_lvlhd_domicile_chng_self","3",12,"0.0625","पर्यो, म अर्कै गाउँ/सहरमा सरेको छु","Yes, swiched to a new village/city",41,"Impact"
"i_lvlhd_domicile_chng_self","4",87,"0.453125","परेन","No",42,"Impact"
"i_lvlhd_domicile_chng_self_temp_tm_prd","1",5,"0.106383","१ महिना भन्दा कम","Less than a month",43,"Impact"
"i_lvlhd_domicile_chng_self_temp_tm_prd","2",13,"0.2765957","२-६ महिना सम्म","2 to 6 months",44,"Impact"
"i_lvlhd_domicile_chng_self_temp_tm_prd","3",29,"0.6170213","६ महिना भन्दा बढी","More than 6 months",45,"Impact"
"i_mental_hlth_blame","1",115,"0.5989583","छैन","No",46,"Impact"
"i_mental_hlth_blame","2",77,"0.4010417","छ","Yes",47,"Impact"
"i_mental_hlth_detached","1",64,"0.3333333","छैन","No",48,"Impact"
"i_mental_hlth_detached","2",128,"0.6666667","छ","Yes",49,"Impact"
"i_mental_hlth_fml","1",98,"0.5104167","छैन","No",50,"Impact"
"i_mental_hlth_fml","2",94,"0.4895833","छ","Yes",51,"Impact"
"i_mental_hlth_neg_think","1",88,"0.4583333","छैन","No",52,"Impact"
"i_mental_hlth_neg_think","2",104,"0.5416667","छ","Yes",53,"Impact"
"i_mental_hlth_overconcerned","1",108,"0.5625","छैन","No",54,"Impact"
"i_mental_hlth_overconcerned","2",84,"0.4375","छ","Yes",55,"Impact"
"i_mental_hlth_social","1",50,"0.2604167","छैन","No",56,"Impact"
"i_mental_hlth_social","2",142,"0.7395833","छ","Yes",57,"Impact"
"i_mental_hlth_therapy","1",167,"0.8697917","छैन","No",58,"Impact"
"i_mental_hlth_therapy","2",25,"0.1302083","छ","Yes",59,"Impact"
"i_mental_hlth_think","1",41,"0.2135417","छैन","No",60,"Impact"
"i_mental_hlth_think","2",151,"0.7864583","छ","Yes",61,"Impact"
"m_age","1",5,"0.0260417","०-२० बर्ष","Less than 20 years",62,"Metadata"
"m_age","2",158,"0.8229167","२१-४० बर्ष","21 - 40 years",63,"Metadata"
"m_age","3",29,"0.1510417","४१-६० वर्ष","41 - 60 years",64,"Metadata"
"m_dist_perm","1",2,"0.0104167","अछाम","Achham",66,"Metadata"
"m_dist_perm","10",3,"0.015625","भक्तपुर","Bhaktapur",75,"Metadata"
"m_dist_perm","11",4,"0.0208333","भोजपुर","Bhojpur",76,"Metadata"
"m_dist_perm","12",4,"0.0208333","चितवन","Chitawan",77,"Metadata"
"m_dist_perm","15",1,"0.0052083","दाङ","Dang",80,"Metadata"
"m_dist_perm","17",12,"0.0625","धादिङ","Dhading",82,"Metadata"
"m_dist_perm","19",1,"0.0052083","धनुषा","Dhanusa",84,"Metadata"
"m_dist_perm","20",6,"0.03125","दोलखा","Dolakha",85,"Metadata"
"m_dist_perm","23",15,"0.078125","गोरखा","Gorkha",88,"Metadata"
"m_dist_perm","26",1,"0.0052083","इलाम","Ilam",91,"Metadata"
"m_dist_perm","28",2,"0.0104167","झापा","Jhapa",93,"Metadata"
"m_dist_perm","34",9,"0.046875","कास्की","Kaski",99,"Metadata"
"m_dist_perm","35",17,"0.0885417","काठमाडौँ","Kathmandu",100,"Metadata"
"m_dist_perm","36",2,"0.0104167","काभ्रेपलान्चोक","Kavrepalanchok",101,"Metadata"
"m_dist_perm","37",6,"0.03125","खोटाँग","Khotang",102,"Metadata"
"m_dist_perm","38",8,"0.0416667","ललितपुर","Lalitpur",103,"Metadata"
"m_dist_perm","39",2,"0.0104167","लमजुङ","Lamjung",104,"Metadata"
"m_dist_perm","4",1,"0.0052083","बैतडी","Baitadi",69,"Metadata"
"m_dist_perm","41",1,"0.0052083","मकवानपुर","Makwanpur",106,"Metadata"
"m_dist_perm","43",4,"0.0208333","मोरंग","Morang",108,"Metadata"
"m_dist_perm","49",4,"0.0208333","नुवाकोट","Nuwakot",114,"Metadata"
"m_dist_perm","50",1,"0.0052083","ओखलढुंगा","Okhaldhunga",115,"Metadata"
"m_dist_perm","53",1,"0.0052083","पर्वत","Parbat",118,"Metadata"
"m_dist_perm","56",5,"0.0260417","रामेछाप","Ramechhap",121,"Metadata"
"m_dist_perm","57",10,"0.0520833","रसुवा","Rasuwa",122,"Metadata"
"m_dist_perm","60",1,"0.0052083","पूर्वी रूकुम","Rukum East",125,"Metadata"
"m_dist_perm","61",1,"0.0052083","पश्चिमी रूकुम","Rukum West",126,"Metadata"
"m_dist_perm","64",8,"0.0416667","संखुवासभा","Sankhuwasabha",129,"Metadata"
"m_dist_perm","66",2,"0.0104167","सर्लाही","Sarlahi",131,"Metadata"
"m_dist_perm","67",3,"0.015625","सिन्धुली","Sindhuli",132,"Metadata"
"m_dist_perm","68",3,"0.015625","सिन्धुपाल्चोक","Sindhupalchok",133,"Metadata"
"m_dist_perm","70",39,"0.203125","सोलुखुम्बू","Solukhumbu",135,"Metadata"
"m_dist_perm","71",3,"0.015625","सुनसरी","Sunsari",136,"Metadata"
"m_dist_perm","73",6,"0.03125","स्याङग्जा","Syangja",138,"Metadata"
"m_dist_perm","74",2,"0.0104167","तनहुँ","Tanahu",139,"Metadata"
"m_dist_perm","77",1,"0.0052083","उदयपुर","Udayapur",142,"Metadata"
"m_dist_perm","8",1,"0.0052083","बारा","Bara",73,"Metadata"
"m_dist_temp","10",4,"0.0208333","भक्तपुर","Bhaktapur",152,"Metadata"
"m_dist_temp","11",1,"0.0052083","भोजपुर","Bhojpur",153,"Metadata"
"m_dist_temp","12",3,"0.015625","चितवन","Chitawan",154,"Metadata"
"m_dist_temp","17",1,"0.0052083","धादिङ","Dhading",159,"Metadata"
"m_dist_temp","20",3,"0.015625","दोलखा","Dolakha",162,"Metadata"
"m_dist_temp","23",1,"0.0052083","गोरखा","Gorkha",165,"Metadata"
"m_dist_temp","34",20,"0.1041667","कास्की","Kaski",176,"Metadata"
"m_dist_temp","35",133,"0.6927083","काठमाडौँ","Kathmandu",177,"Metadata"
"m_dist_temp","36",1,"0.0052083","काभ्रेपलान्चोक","Kavrepalanchok",178,"Metadata"
"m_dist_temp","38",10,"0.0520833","ललितपुर","Lalitpur",180,"Metadata"
"m_dist_temp","41",1,"0.0052083","मकवानपुर","Makwanpur",183,"Metadata"
"m_dist_temp","43",1,"0.0052083","मोरंग","Morang",185,"Metadata"
"m_dist_temp","53",1,"0.0052083","पर्वत","Parbat",195,"Metadata"
"m_dist_temp","57",1,"0.0052083","रसुवा","Rasuwa",199,"Metadata"
"m_dist_temp","64",1,"0.0052083","संखुवासभा","Sankhuwasabha",206,"Metadata"
"m_dist_temp","68",1,"0.0052083","सिन्धुपाल्चोक","Sindhupalchok",210,"Metadata"
"m_dist_temp","70",7,"0.0364583","सोलुखुम्बू","Solukhumbu",212,"Metadata"
"m_dist_temp","73",2,"0.0104167","स्याङग्जा","Syangja",215,"Metadata"
"m_edu_levl","1",1,"0.0052083","निरक्षर","No education",220,"Metadata"
"m_edu_levl","2",19,"0.0989583","अक्षर चिन्ने","Can read and write",221,"Metadata"
"m_edu_levl","3",47,"0.2447917","एस्.एल.सी.","SLC or equivalent",222,"Metadata"
"m_edu_levl","4",66,"0.34375","+२' वा सो सरह","10+2 or equivalent",223,"Metadata"
"m_edu_levl","5",44,"0.2291667","स्नातक","Undergaduate or equivalent",224,"Metadata"
"m_edu_levl","6",15,"0.078125","स्नातकोत्तर वा माथि","Master's or higher",225,"Metadata"
"m_gender","1",171,"0.890625","पुरुष","Male",226,"Metadata"
"m_gender","2",21,"0.109375","महिला","Female",227,"Metadata"
"m_mun_perm","1001",3,"0.1071429","सुर्यविनायक नगरपालिका","Suryabinayak Municipality",229,"Metadata"
"m_mun_perm","3501",17,"0.6071429","शंखरापुर नगरपालिका","Shankharapur Municipality",230,"Metadata"
"m_mun_perm","3801",8,"0.2857143","महाङ्काल गाउँपालिका","Mahankal Municipality",231,"Metadata"
"m_mun_temp","1001",4,"0.0272109","सुर्यविनायक नगरपालिका","Suryabinayak Municipality",232,"Metadata"
"m_mun_temp","3501",133,"0.9047619","शंखरापुर नगरपालिका","Shankharapur Municipality",233,"Metadata"
"m_mun_temp","3801",10,"0.0680272","महाङ्काल गाउँपालिका","Mahankal Municipality",234,"Metadata"
"m_years_of_experience","1",15,"0.078125","०-२ वर्ष","0 to 2 years",235,"Metadata"
"m_years_of_experience","2",31,"0.1614583","३-५ वर्ष","3 to 5 years",236,"Metadata"
"m_years_of_experience","3",73,"0.3802083","६-१० वर्ष","6 to 10 years",237,"Metadata"
"m_years_of_experience","4",35,"0.1822917","११-१५ बर्ष","11 to 15 years",238,"Metadata"
"m_years_of_experience","5",38,"0.1979167","१५ वर्ष भन्दा बढी","15 years or more",239,"Metadata"
"o_econ_impact_fml_income_chng_21_v_19","1",13,"0.0677083","कुल आय लगभग उत्तिक्कै हुन्छ होला","Will stay the same",240,"Outlook"
"o_econ_impact_fml_income_chng_21_v_19","2",13,"0.0677083","कुल आय एक-चौथाई (२५%)ले घट्छ होला","Will reduce by 25%",241,"Outlook"
"o_econ_impact_fml_income_chng_21_v_19","3",13,"0.0677083","कुल आय आधि (५०%)ले घट्छ होला","Will reduce by 50%",242,"Outlook"
"o_econ_impact_fml_income_chng_21_v_19","4",32,"0.1666667","कुल आय तीन-चौथाई (७५%)ले घट्छ होला","Will reduce by 75%",243,"Outlook"
"o_econ_impact_fml_income_chng_21_v_19","5",117,"0.609375","कुल आय लगभग शुन्य (०%) हुन्छ होला","Will reduce to zero",244,"Outlook"
"o_econ_impact_fml_income_chng_21_v_19","6",4,"0.0208333","कुल आय बढ्छ होला","Will grow",245,"Outlook"
"o_econ_impact_how_long_months","1",9,"0.046875","६ महिना भन्दा कम","Less than 6 months",246,"Outlook"
"o_econ_impact_how_long_months","2",65,"0.3385417","६ देखि १२ महिना सम्म","6 to 12 months",247,"Outlook"
"o_econ_impact_how_long_months","3",68,"0.3541667","१३ देखि २४ महिना सम्म","13 to 24 months",248,"Outlook"
"o_econ_impact_how_long_months","4",50,"0.2604167","२४ महिना भन्दा बढी","24 months or more",249,"Outlook"
"o_empl_status_to_nrml_how_long_months","1",4,"0.0208333","तुरुन्तै","Immediately",250,"Outlook"
"o_empl_status_to_nrml_how_long_months","2",13,"0.0677083","सुचारु भएको ३ महिना भित्र","Within 3 months",251,"Outlook"
"o_empl_status_to_nrml_how_long_months","3",56,"0.2916667","सुचारु भएको १२ महिना भित्र","Within 12 months",252,"Outlook"
"o_empl_status_to_nrml_how_long_months","4",2,"0.0104167","म पर्यटन क्षेत्रमा अब काम नगर्ने भएको छु","I'm planning to leave the tourism sector",253,"Outlook"
"o_empl_status_to_nrml_how_long_months","5",117,"0.609375","केहि भन्न सकिंदैन","Can't say",254,"Outlook"
"p_econ_outstndng_loans_self","1",16,"0.0833333","छैन","No",255,"Preparedness"
"p_econ_outstndng_loans_self","2",176,"0.9166667","छ","Yes",256,"Preparedness"
"p_econ_self_savings_chng_today_v_19","1",7,"0.0364583","लगभग उत्तिकै बाँकी छ","Has stayed the same",257,"Preparedness"
"p_econ_self_savings_chng_today_v_19","2",8,"0.0416667","तीन-चौथाई (७५%) बाँकी छ","Has reduced to 75%",258,"Preparedness"
"p_econ_self_savings_chng_today_v_19","3",2,"0.0104167","आधि (५०%) बाँकी छ","Has reduced to 50%",259,"Preparedness"
"p_econ_self_savings_chng_today_v_19","4",88,"0.4583333","एक-चौथाई (२५%) बाँकी छ","Has reduced to 25%",260,"Preparedness"
"p_econ_self_savings_chng_today_v_19","5",86,"0.4479167","लगभग शुन्य बाँकी छ","Has reduced to zero",261,"Preparedness"
"p_econ_self_savings_chng_today_v_19","6",1,"0.0052083","बचत बढेको छ","Has grown",262,"Preparedness"
"p_hlth_received_hhs_training_self","1",182,"0.9479167","छैन","No",263,"Preparedness"
"p_hlth_received_hhs_training_self","2",10,"0.0520833","छ","Yes",264,"Preparedness"
"p_hlth_vaccinated_self","1",102,"0.53125","छैन","No",265,"Preparedness"
"p_hlth_vaccinated_self","2",90,"0.46875","छ","Yes",266,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","1",31,"0.1614583","१ जना (म मात्रै)","Only me",267,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","2",16,"0.0833333","२ जना","2 people",268,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","3",106,"0.5520833","३-५ जना","3 to 5 people",269,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","4",39,"0.203125","५ जना भन्दा बढी","6 people or more",270,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","1",14,"0.0729167","१ जना (म मात्रै)","Only me",271,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","2",23,"0.1197917","२ जना","2 people",272,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","3",109,"0.5677083","३-५ जना","3 to 5 people",273,"Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","4",46,"0.2395833","५ जना भन्दा बढी","6 people or more",274,"Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","1",122,"0.6354167","शुन्य (०) जना","Only me",275,"Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","2",40,"0.2083333","१-२ जना","2 people",276,"Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","3",23,"0.1197917","३-५ जना","3 to 5 people",277,"Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","4",7,"0.0364583","५ जना भन्दा बढी","6 people or more",278,"Preparedness"
"p_hlth_info_covid_src","1",135,"0.703125","परिवार जन तथा छिमेकी","Family and friends",279,"Preparedness"
"p_hlth_info_covid_src","2",25,"0.130208","सामाजिक संजाल","Social media",280,"Preparedness"
"p_hlth_info_covid_src","3",151,"0.786458","रेडियो","Radio",281,"Preparedness"
"p_hlth_info_covid_src","4",74,"0.385417","टेलिभिजन","Television",282,"Preparedness"
"p_hlth_info_covid_src","5",106,"0.552083","पत्र-पत्रिका","Newspapers",283,"Preparedness"
"p_hlth_info_covid_src","6",171,"0.890625","नजिकैको स्वास्थ्य सेवा","Nearby health service provider",284,"Preparedness"
"p_hlth_info_covid_src","7",189,"0.984375","अन्य","Other",285,"Preparedness"
"p_hlth_hhs_training_src","1",10,"0.0520833","सरकारी निकायबाट","Government",287,"Preparedness"
"p_hlth_hhs_training_src","2",8,"0.0416667","गैर-सरकारी संघ-संस्थाबाट","NGO",288,"Preparedness"
"p_hlth_hhs_training_src","3",7,"0.0364583","रोजगारदाताबाट","Employer",289,"Preparedness"
"p_hlth_hhs_training_src","4",3,"0.015625","पर्यटकीय संघ-संस्थाबाट (जस्तै होटेल व्यवसाय महासंघ, TAAN, HAN, UNITRAV, JOTTUF आदि)","Hotel / workers associations",290,"Preparedness"
"p_hlth_hhs_training_src","5",9,"0.046875","अन्य","Other",291,"Preparedness"
"p_econ_hhd_items_pre_covid","1",80,"0.416667","जग्गा / जमिन","Land",293,"Preparedness"
"p_econ_hhd_items_pre_covid","2",62,"0.322917","टेलिभिजन","Television",294,"Preparedness"
"p_econ_hhd_items_pre_covid","3",123,"0.640625","केबुल टेलिभिजन","Cable TV connection",295,"Preparedness"
"p_econ_hhd_items_pre_covid","4",112,"0.583333","कम्प्युटर / ल्याप्टप","Computer / laptop",296,"Preparedness"
"p_econ_hhd_items_pre_covid","5",90,"0.46875","इन्टरनेट","Internet",297,"Preparedness"
"p_econ_hhd_items_pre_covid","6",157,"0.817708","टेलिफोन","Telephone",298,"Preparedness"
"p_econ_hhd_items_pre_covid","7",19,"0.0989583","मोबाइल फोन","Mobile phone",299,"Preparedness"
"p_econ_hhd_items_pre_covid","8",125,"0.651042","रेफ्रीजरेटर","Refrigerator",300,"Preparedness"
"p_econ_hhd_items_pre_covid","9",107,"0.557292","मोटरसाइकल","Motorcycle",301,"Preparedness"
"p_econ_hhd_items_pre_covid","10",190,"0.989583","पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for self/family use",302,"Preparedness"
"p_econ_hhd_items_pre_covid","11",187,"0.973958","व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for commercial use",303,"Preparedness"
"p_econ_hhd_items_pre_covid","12",188,"0.979167","माथिका कुनै पनि सुविधाहरू नभएको","None of the above",304,"Preparedness"
"p_econ_hhd_items_post_covid","1",93,"0.484375","जग्गा / जमिन","Land",305,"Preparedness"
"p_econ_hhd_items_post_covid","2",91,"0.473958","टेलिभिजन","Television",306,"Preparedness"
"p_econ_hhd_items_post_covid","3",138,"0.71875","केबुल टेलिभिजन","Cable TV connection",307,"Preparedness"
"p_econ_hhd_items_post_covid","4",138,"0.71875","कम्प्युटर / ल्याप्टप","Computer / laptop",308,"Preparedness"
"p_econ_hhd_items_post_covid","5",115,"0.598958","इन्टरनेट","Internet",309,"Preparedness"
"p_econ_hhd_items_post_covid","6",166,"0.864583","टेलिफोन","Telephone",310,"Preparedness"
"p_econ_hhd_items_post_covid","7",22,"0.114583","मोबाइल फोन","Mobile phone",311,"Preparedness"
"p_econ_hhd_items_post_covid","8",141,"0.734375","रेफ्रीजरेटर","Refrigerator",312,"Preparedness"
"p_econ_hhd_items_post_covid","9",128,"0.666667","मोटरसाइकल","Motorcycle",313,"Preparedness"
"p_econ_hhd_items_post_covid","10",190,"0.989583","पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for self/family use",314,"Preparedness"
"p_econ_hhd_items_post_covid","11",191,"0.994792","व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for commercial use",315,"Preparedness"
"p_econ_hhd_items_post_covid","12",183,"0.953125","माथिका कुनै पनि सुविधाहरू नभएको","None of the above",316,"Preparedness"
"o_rcvry_chllng_trsm_revival","1",83,"0.432292","कोभिड-१९ को सन्दर्भमा पर्यटकको बिश्वाश जित्ने","Winning tourists confidence",317,"Outlook"
"o_rcvry_chllng_trsm_revival","2",34,"0.177083","स्वास्थ्य र सुरक्षा उपायहरू सुनिश्चित गर्ने","Ensuring HHS Compliance\",318,"Outlook"
"o_rcvry_chllng_trsm_revival","3",70,"0.364583","आर्थिक चुनौतीहरू","Overcoming financial challenges",319,"Outlook"
"o_rcvry_chllng_trsm_revival","4",60,"0.3125","पर्यटकको संख्यामा आउने कमि",NA,320,"Outlook"
"o_rcvry_chllng_trsm_revival","5",141,"0.734375","स्रोत बजार (Source market) को मांग र आवश्यकता सही ढङ्गमा बुझ्ने",NA,321,"Outlook"
"o_rcvry_chllng_trsm_revival","6",186,"0.96875","अन्य",NA,322,"Outlook"
"o_rcvry_chllng_trsm_revival","7",191,"0.994792","म संलग्न रहेको पर्यटन क्षेत्रमा कुनै किसिमका चुनौतीहरू छैनन्",NA,323,"Outlook"
"o_impct_to_self_nxt_6_mnths","1",139,"0.723958","घर/कोठा भाडा तिर्न सकिन्न (आम्सिक)",NA,325,"Outlook"
"o_impct_to_self_nxt_6_mnths","2",71,"0.369792","घर/कोठा भाडा तिर्न सकिन्न (पूर्ण)",NA,326,"Outlook"
"o_impct_to_self_nxt_6_mnths","3",71,"0.369792","स्वास्थ्य सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA,327,"Outlook"
"o_impct_to_self_nxt_6_mnths","4",92,"0.479167","शैक्षिक सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA,328,"Outlook"
"o_impct_to_self_nxt_6_mnths","5",71,"0.369792","खानपिनको लागि आवश्यक खर्च जुटाउन सकिन्न",NA,329,"Outlook"
"o_impct_to_self_nxt_6_mnths","6",95,"0.494792","ऋण तथा सापटी लिन सकिन्न",NA,330,"Outlook"
"o_impct_to_self_nxt_6_mnths","7",65,"0.338542","ऋण तथा सापटी तिर्न सकिन्न",NA,331,"Outlook"
"o_impct_to_self_nxt_6_mnths","8",188,"0.979167","अन्य",NA,332,"Outlook"
"o_impct_to_self_nxt_6_mnths","9",188,"0.979167","मलाई कोभिड-१९ ले कुनै प्रकारको अवस्था भोग्नु नपर्ला",NA,333,"Outlook"
"n_rcvry_preferred_incentives","1",139,"0.723958","स्वास्थ्य सम्बन्धि तालिम वा पुन:प्रशिक्षण",NA,335,"Need"
"n_rcvry_preferred_incentives","2",87,"0.453125","रोजगारीमूलक तालिम वा पुन:प्रशिक्षण",NA,336,"Need"
"n_rcvry_preferred_incentives","3",109,"0.567708","नयाँ सीप सिक्ने अवसर",NA,337,"Need"
"n_rcvry_preferred_incentives","4",106,"0.552083","नयाँ रोजगारीको अवसर",NA,338,"Need"
"n_rcvry_preferred_incentives","5",64,"0.333333","सहुलियत दरमा ऋण",NA,339,"Need"
"n_rcvry_preferred_incentives","6",121,"0.630208","ब्याज दरमा बिशेष छूट",NA,340,"Need"
"n_rcvry_preferred_incentives","7",148,"0.770833","करमा छूट",NA,341,"Need"
"n_rcvry_preferred_incentives","8",147,"0.765625","बैंक आदि लगायतको किस्ता तिर्ने अवधि बढाउने वा केहि समयका लागि किस्ता तिर्न नपर्ने (Deferral or extension of EMI periods)",NA,342,"Need"
"n_rcvry_preferred_incentives","9",89,"0.463542","सामाजिक सुरक्षाको व्यवस्था",NA,343,"Need"
"n_rcvry_preferred_incentives","10",85,"0.442708","अनुदान",NA,344,"Need"
"n_rcvry_preferred_incentives","11",142,"0.739583","मानसिक तनाव कम गर्न स्वास्थ्य परामर्श",NA,345,"Need"
"n_rcvry_preferred_incentives","12",191,"0.994792","अन्य",NA,346,"Need"
"n_rcvry_preferred_incentives","13",191,"0.994792","मलाई कोभिड-१९ ले कुनै प्रकारको असर गरेन",NA,347,"Need"
"i_empl_covid_effects","1",41,"0.213542","रोजगार गुमाउनुपर्यो","Lost job",349,"Impact"
"i_empl_covid_effects","2",162,"0.84375","स्व-रोजगार गुमाउनुपर्यो","Lost self-employment",350,"Impact"
"i_empl_covid_effects","3",164,"0.854167","मन नलागेको काम गर्नुपर्यो","Took up ininteresting job",351,"Impact"
"i_empl_covid_effects","4",126,"0.65625","तलब कटौती भयो","Salary cut",352,"Impact"
"i_empl_covid_effects","5",159,"0.828125","पालो गरेर/कुरेर काम गर्नुपर्यो (Rotational employment)","Rotational employment",353,"Impact"
"i_empl_covid_effects","6",176,"0.916667","कामको लागि आवश्यक लाइसेन्स (license), परमिट (permit) आदि लिन / नवीकारण गर्न पाइएन","Couldn't renew licences and permits",354,"Impact"
