"variable","value","total","perc_of_total","label_ne","label_en"
"i_mental_hlth_overconcerned","1",108,"0.5684211","छैन","No"
"i_mental_hlth_overconcerned","2",82,"0.4315789","छ","Yes"
"i_mental_hlth_social","1",50,"0.2631579","छैन","No"
"i_mental_hlth_social","2",140,"0.7368421","छ","Yes"
"i_mental_hlth_therapy","1",165,"0.8684211","छैन","No"
"i_mental_hlth_therapy","2",25,"0.1315789","छ","Yes"
"i_mental_hlth_think","1",41,"0.2157895","छैन","No"
"i_mental_hlth_think","2",149,"0.7842105","छ","Yes"
"m_age","1",5,"0.0263158","०-२० बर्ष","Less than 20 years"
"m_age","2",156,"0.8210526","२१-४० बर्ष","21 - 40 years"
"m_age","3",29,"0.1526316","४१-६० वर्ष","41 - 60 years"
"m_dist_perm","1",2,"0.0105263","अछाम","Achham"
"m_dist_perm","10",2,"0.0105263","भक्तपुर","Bhaktapur"
"m_dist_perm","11",4,"0.0210526","भोजपुर","Bhojpur"
"m_dist_perm","12",4,"0.0210526","चितवन","Chitawan"
"m_dist_perm","15",1,"0.0052632","दाङ","Dang"
"m_dist_perm","17",11,"0.0578947","धादिङ","Dhading"
"m_dist_perm","19",1,"0.0052632","धनुषा","Dhanusa"
"m_dist_perm","20",6,"0.0315789","दोलखा","Dolakha"
"m_dist_perm","23",15,"0.0789474","गोरखा","Gorkha"
"m_dist_perm","26",1,"0.0052632","इलाम","Ilam"
"m_dist_perm","28",2,"0.0105263","झापा","Jhapa"
"m_dist_perm","34",9,"0.0473684","कास्की","Kaski"
"m_dist_perm","35",17,"0.0894737","काठमाडौँ","Kathmandu"
"m_dist_perm","36",2,"0.0105263","काभ्रेपलान्चोक","Kavrepalanchok"
"m_dist_perm","37",6,"0.0315789","खोटाँग","Khotang"
"m_dist_perm","38",8,"0.0421053","ललितपुर","Lalitpur"
"m_dist_perm","39",2,"0.0105263","लमजुङ","Lamjung"
"m_dist_perm","4",1,"0.0052632","बैतडी","Baitadi"
"m_dist_perm","41",1,"0.0052632","मकवानपुर","Makwanpur"
"m_dist_perm","43",4,"0.0210526","मोरंग","Morang"
"m_dist_perm","49",4,"0.0210526","नुवाकोट","Nuwakot"
"m_dist_perm","50",1,"0.0052632","ओखलढुंगा","Okhaldhunga"
"m_dist_perm","53",1,"0.0052632","पर्वत","Parbat"
"m_dist_perm","56",5,"0.0263158","रामेछाप","Ramechhap"
"m_dist_perm","57",10,"0.0526316","रसुवा","Rasuwa"
"m_dist_perm","60",1,"0.0052632","पूर्वी रूकुम","Rukum East"
"m_dist_perm","61",1,"0.0052632","पश्चिमी रूकुम","Rukum West"
"m_dist_perm","64",8,"0.0421053","संखुवासभा","Sankhuwasabha"
"m_dist_perm","66",2,"0.0105263","सर्लाही","Sarlahi"
"m_dist_perm","67",3,"0.0157895","सिन्धुली","Sindhuli"
"m_dist_perm","68",3,"0.0157895","सिन्धुपाल्चोक","Sindhupalchok"
"m_dist_perm","70",39,"0.2052632","सोलुखुम्बू","Solukhumbu"
"m_dist_perm","71",3,"0.0157895","सुनसरी","Sunsari"
"m_dist_perm","73",6,"0.0315789","स्याङग्जा","Syangja"
"m_dist_perm","74",2,"0.0105263","तनहुँ","Tanahu"
"m_dist_perm","77",1,"0.0052632","उदयपुर","Udayapur"
"m_dist_perm","8",1,"0.0052632","बारा","Bara"
"m_dist_temp","10",4,"0.0210526","भक्तपुर","Bhaktapur"
"m_dist_temp","11",1,"0.0052632","भोजपुर","Bhojpur"
"m_dist_temp","12",3,"0.0157895","चितवन","Chitawan"
"m_dist_temp","17",1,"0.0052632","धादिङ","Dhading"
"m_dist_temp","20",3,"0.0157895","दोलखा","Dolakha"
"m_dist_temp","23",1,"0.0052632","गोरखा","Gorkha"
"m_dist_temp","34",20,"0.1052632","कास्की","Kaski"
"m_dist_temp","35",132,"0.6947368","काठमाडौँ","Kathmandu"
"m_dist_temp","36",1,"0.0052632","काभ्रेपलान्चोक","Kavrepalanchok"
"m_dist_temp","38",9,"0.0473684","ललितपुर","Lalitpur"
"m_dist_temp","41",1,"0.0052632","मकवानपुर","Makwanpur"
"m_dist_temp","43",1,"0.0052632","मोरंग","Morang"
"m_dist_temp","53",1,"0.0052632","पर्वत","Parbat"
"m_dist_temp","57",1,"0.0052632","रसुवा","Rasuwa"
"m_dist_temp","64",1,"0.0052632","संखुवासभा","Sankhuwasabha"
"m_dist_temp","68",1,"0.0052632","सिन्धुपाल्चोक","Sindhupalchok"
"m_dist_temp","70",7,"0.0368421","सोलुखुम्बू","Solukhumbu"
"m_dist_temp","73",2,"0.0105263","स्याङग्जा","Syangja"
"m_edu_levl","1",1,"0.0052632","निरक्षर","No education"
"m_edu_levl","2",19,"0.1","अक्षर चिन्ने","Can read and write"
"m_edu_levl","3",45,"0.2368421","एस्.एल.सी.","SLC or equivalent"
"m_edu_levl","4",66,"0.3473684","+२' वा सो सरह","10+2 or equivalent"
"m_edu_levl","5",44,"0.2315789","स्नातक","Undergaduate or equivalent"
"m_edu_levl","6",15,"0.0789474","स्नातकोत्तर वा माथि","Master's or higher"
"m_gender","1",169,"0.8894737","पुरुष","Male"
"m_gender","2",21,"0.1105263","महिला","Female"
"m_mun_perm","1001",2,"0.0740741","सुर्यविनायक नगरपालिका","Suryabinayak Municipality"
"m_mun_perm","3501",17,"0.6296296","शंखरापुर नगरपालिका","Shankharapur Municipality"
"m_mun_perm","3801",8,"0.2962963","महाङ्काल गाउँपालिका","Mahankal Municipality"
"m_mun_temp","1001",4,"0.0275862","सुर्यविनायक नगरपालिका","Suryabinayak Municipality"
"m_mun_temp","3501",132,"0.9103448","शंखरापुर नगरपालिका","Shankharapur Municipality"
"m_mun_temp","3801",9,"0.062069","महाङ्काल गाउँपालिका","Mahankal Municipality"
"m_years_of_experience","1",15,"0.0789474","०-२ वर्ष","0 to 2 years"
"m_years_of_experience","2",31,"0.1631579","३-५ वर्ष","3 to 5 years"
"m_years_of_experience","3",71,"0.3736842","६-१० वर्ष","6 to 10 years"
"m_years_of_experience","4",35,"0.1842105","११-१५ बर्ष","11 to 15 years"
"m_years_of_experience","5",38,"0.2","१५ वर्ष भन्दा बढी","15 years or more"
"o_econ_impact_fml_income_chng_21_v_19","1",13,"0.0684211","कुल आय लगभग उत्तिक्कै हुन्छ होला","Will stay the same"
"o_econ_impact_fml_income_chng_21_v_19","2",12,"0.0631579","कुल आय एक-चौथाई (२५%)ले घट्छ होला","Will reduce by 25%"
"o_econ_impact_fml_income_chng_21_v_19","3",13,"0.0684211","कुल आय आधि (५०%)ले घट्छ होला","Will reduce by 50%"
"o_econ_impact_fml_income_chng_21_v_19","4",32,"0.1684211","कुल आय तीन-चौथाई (७५%)ले घट्छ होला","Will reduce by 75%"
"o_econ_impact_fml_income_chng_21_v_19","5",116,"0.6105263","कुल आय लगभग शुन्य (०%) हुन्छ होला","Will reduce to zero"
"o_econ_impact_fml_income_chng_21_v_19","6",4,"0.0210526","कुल आय बढ्छ होला","Will grow"
"o_econ_impact_how_long_months","1",9,"0.0473684","६ महिना भन्दा कम","Less than 6 months"
"o_econ_impact_how_long_months","2",65,"0.3421053","६ देखि १२ महिना सम्म","6 to 12 months"
"o_econ_impact_how_long_months","3",68,"0.3578947","१३ देखि २४ महिना सम्म","13 to 24 months"
"o_econ_impact_how_long_months","4",48,"0.2526316","२४ महिना भन्दा बढी","24 months or more"
"o_empl_status_to_nrml_how_long_months","1",4,"0.0210526","तुरुन्तै","Immediately"
"o_empl_status_to_nrml_how_long_months","2",13,"0.0684211","सुचारु भएको ३ महिना भित्र","Within 3 months"
"o_empl_status_to_nrml_how_long_months","3",56,"0.2947368","सुचारु भएको १२ महिना भित्र","Within 12 months"
"o_empl_status_to_nrml_how_long_months","4",2,"0.0105263","म पर्यटन क्षेत्रमा अब काम नगर्ने भएको छु","I'm planning to leave the tourism sector"
"o_empl_status_to_nrml_how_long_months","5",115,"0.6052632","केहि भन्न सकिंदैन","Can't say"
"p_econ_outstndng_loans_self","1",16,"0.0842105","छैन","No"
"p_econ_outstndng_loans_self","2",174,"0.9157895","छ","Yes"
"p_econ_self_savings_chng_today_v_19","1",7,"0.0368421","लगभग उत्तिकै बाँकी छ","Has stayed the same"
"p_econ_self_savings_chng_today_v_19","2",8,"0.0421053","तीन-चौथाई (७५%) बाँकी छ","Has reduced to 75%"
"p_econ_self_savings_chng_today_v_19","3",2,"0.0105263","आधि (५०%) बाँकी छ","Has reduced to 50%"
"p_econ_self_savings_chng_today_v_19","4",88,"0.4631579","एक-चौथाई (२५%) बाँकी छ","Has reduced to 25%"
"p_econ_self_savings_chng_today_v_19","5",84,"0.4421053","लगभग शुन्य बाँकी छ","Has reduced to zero"
"p_econ_self_savings_chng_today_v_19","6",1,"0.0052632","बचत बढेको छ","Has grown"
"p_hlth_received_hhs_training_self","1",181,"0.9526316","छैन","No"
"p_hlth_received_hhs_training_self","2",9,"0.0473684","छ","Yes"
"p_hlth_vaccinated_self","1",100,"0.5263158","छैन","No"
"p_hlth_vaccinated_self","2",90,"0.4736842","छ","Yes"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","1",31,"0.1631579","१ जना (म मात्रै)","Only me"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","2",16,"0.0842105","२ जना","2 people"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","3",105,"0.5526316","३-५ जना","3 to 5 people"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","4",38,"0.2","५ जना भन्दा बढी","6 people or more"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","1",14,"0.0736842","१ जना (म मात्रै)","Only me"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","2",23,"0.1210526","२ जना","2 people"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","3",108,"0.5684211","३-५ जना","3 to 5 people"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","4",45,"0.2368421","५ जना भन्दा बढी","6 people or more"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","1",121,"0.6368421","शुन्य (०) जना","Only me"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","2",40,"0.2105263","१-२ जना","2 people"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","3",22,"0.1157895","३-५ जना","3 to 5 people"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","4",7,"0.0368421","५ जना भन्दा बढी","6 people or more"
"p_hlth_info_covid_src","1",135,"0.710526","परिवार जन तथा छिमेकी","Family and friends"
"p_hlth_info_covid_src","2",25,"0.131579","सामाजिक संजाल","Social media"
"p_hlth_info_covid_src","3",149,"0.784211","रेडियो","Radio"
"p_hlth_info_covid_src","4",72,"0.378947","टेलिभिजन","Television"
"p_hlth_info_covid_src","5",104,"0.547368","पत्र-पत्रिका","Newspapers"
"p_hlth_info_covid_src","6",170,"0.894737","नजिकैको स्वास्थ्य सेवा","Nearby health service provider"
"p_hlth_info_covid_src","7",187,"0.984211","अन्य","Other"
"p_hlth_hhs_training_src","1",9,"0.0473684","सरकारी निकायबाट","Government"
"p_hlth_hhs_training_src","2",8,"0.0421053","गैर-सरकारी संघ-संस्थाबाट","NGO"
"p_hlth_hhs_training_src","3",6,"0.0315789","रोजगारदाताबाट","Employer"
"p_hlth_hhs_training_src","4",3,"0.0157895","पर्यटकीय संघ-संस्थाबाट (जस्तै होटेल व्यवसाय महासंघ, TAAN, HAN, UNITRAV, JOTTUF आदि)","Hotel / workers associations"
"p_hlth_hhs_training_src","5",8,"0.0421053","अन्य","Other"
"p_econ_hhd_items_pre_covid","1",78,"0.410526","जग्गा / जमिन","Land"
"p_econ_hhd_items_pre_covid","2",62,"0.326316","टेलिभिजन","Television"
"p_econ_hhd_items_pre_covid","3",121,"0.636842","केबुल टेलिभिजन","Cable TV connection"
"p_econ_hhd_items_pre_covid","4",111,"0.584211","कम्प्युटर / ल्याप्टप","Computer / laptop"
"p_econ_hhd_items_pre_covid","5",90,"0.473684","इन्टरनेट","Internet"
"p_econ_hhd_items_pre_covid","6",156,"0.821053","टेलिफोन","Telephone"
"p_econ_hhd_items_pre_covid","7",19,"0.1","मोबाइल फोन","Mobile phone"
"p_econ_hhd_items_pre_covid","8",125,"0.657895","रेफ्रीजरेटर","Refrigerator"
"p_econ_hhd_items_pre_covid","9",107,"0.563158","मोटरसाइकल","Motorcycle"
"p_econ_hhd_items_pre_covid","10",188,"0.989474","पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for self/family use"
"p_econ_hhd_items_pre_covid","11",185,"0.973684","व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for commercial use"
"p_econ_hhd_items_pre_covid","12",186,"0.978947","माथिका कुनै पनि सुविधाहरू नभएको","None of the above"
"p_econ_hhd_items_post_covid","1",91,"0.478947","जग्गा / जमिन","Land"
"p_econ_hhd_items_post_covid","2",91,"0.478947","टेलिभिजन","Television"
"p_econ_hhd_items_post_covid","3",136,"0.715789","केबुल टेलिभिजन","Cable TV connection"
"p_econ_hhd_items_post_covid","4",136,"0.715789","कम्प्युटर / ल्याप्टप","Computer / laptop"
"p_econ_hhd_items_post_covid","5",114,"0.6","इन्टरनेट","Internet"
"p_econ_hhd_items_post_covid","6",165,"0.868421","टेलिफोन","Telephone"
"p_econ_hhd_items_post_covid","7",21,"0.110526","मोबाइल फोन","Mobile phone"
"p_econ_hhd_items_post_covid","8",141,"0.742105","रेफ्रीजरेटर","Refrigerator"
"p_econ_hhd_items_post_covid","9",127,"0.668421","मोटरसाइकल","Motorcycle"
"p_econ_hhd_items_post_covid","10",188,"0.989474","पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for self/family use"
"p_econ_hhd_items_post_covid","11",189,"0.994737","व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for commercial use"
"p_econ_hhd_items_post_covid","12",181,"0.952632","माथिका कुनै पनि सुविधाहरू नभएको","None of the above"
"o_rcvry_chllng_trsm_revival","1",81,"0.426316","कोभिड-१९ को सन्दर्भमा पर्यटकको बिश्वाश जित्ने","Winning tourists confidence"
"o_rcvry_chllng_trsm_revival","2",34,"0.178947","स्वास्थ्य र सुरक्षा उपायहरू सुनिश्चित गर्ने","Ensuring HHS Compliance\"
"o_rcvry_chllng_trsm_revival","3",70,"0.368421","आर्थिक चुनौतीहरू","Overcoming financial challenges"
"o_rcvry_chllng_trsm_revival","4",60,"0.315789","पर्यटकको संख्यामा आउने कमि",NA
"o_rcvry_chllng_trsm_revival","5",139,"0.731579","स्रोत बजार (Source market) को मांग र आवश्यकता सही ढङ्गमा बुझ्ने",NA
"o_rcvry_chllng_trsm_revival","6",184,"0.968421","अन्य",NA
"o_rcvry_chllng_trsm_revival","7",189,"0.994737","म संलग्न रहेको पर्यटन क्षेत्रमा कुनै किसिमका चुनौतीहरू छैनन्",NA
"o_impct_to_self_nxt_6_mnths","1",138,"0.726316","घर/कोठा भाडा तिर्न सकिन्न (आम्सिक)",NA
"o_impct_to_self_nxt_6_mnths","2",70,"0.368421","घर/कोठा भाडा तिर्न सकिन्न (पूर्ण)",NA
"o_impct_to_self_nxt_6_mnths","3",71,"0.373684","स्वास्थ्य सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","4",91,"0.478947","शैक्षिक सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","5",71,"0.373684","खानपिनको लागि आवश्यक खर्च जुटाउन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","6",95,"0.5","ऋण तथा सापटी लिन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","7",64,"0.336842","ऋण तथा सापटी तिर्न सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","8",186,"0.978947","अन्य",NA
"o_impct_to_self_nxt_6_mnths","9",186,"0.978947","मलाई कोभिड-१९ ले कुनै प्रकारको अवस्था भोग्नु नपर्ला",NA
"n_rcvry_preferred_incentives","1",138,"0.726316","स्वास्थ्य सम्बन्धि तालिम वा पुन:प्रशिक्षण",NA
"n_rcvry_preferred_incentives","2",86,"0.452632","रोजगारीमूलक तालिम वा पुन:प्रशिक्षण",NA
"n_rcvry_preferred_incentives","3",109,"0.573684","नयाँ सीप सिक्ने अवसर",NA
"n_rcvry_preferred_incentives","4",105,"0.552632","नयाँ रोजगारीको अवसर",NA
"n_rcvry_preferred_incentives","5",63,"0.331579","सहुलियत दरमा ऋण",NA
"n_rcvry_preferred_incentives","6",120,"0.631579","ब्याज दरमा बिशेष छूट",NA
"n_rcvry_preferred_incentives","7",147,"0.773684","करमा छूट",NA
"n_rcvry_preferred_incentives","8",146,"0.768421","बैंक आदि लगायतको किस्ता तिर्ने अवधि बढाउने वा केहि समयका लागि किस्ता तिर्न नपर्ने (Deferral or extension of EMI periods)",NA
"n_rcvry_preferred_incentives","9",88,"0.463158","सामाजिक सुरक्षाको व्यवस्था",NA
"n_rcvry_preferred_incentives","10",84,"0.442105","अनुदान",NA
"n_rcvry_preferred_incentives","11",141,"0.742105","मानसिक तनाव कम गर्न स्वास्थ्य परामर्श",NA
"n_rcvry_preferred_incentives","12",189,"0.994737","अन्य",NA
"n_rcvry_preferred_incentives","13",189,"0.994737","मलाई कोभिड-१९ ले कुनै प्रकारको असर गरेन",NA
"i_empl_covid_effects","1",40,"0.210526","रोजगार गुमाउनुपर्यो","Lost job"
"i_empl_covid_effects","2",160,"0.842105","स्व-रोजगार गुमाउनुपर्यो","Lost self-employment"
"i_empl_covid_effects","3",164,"0.863158","मन नलागेको काम गर्नुपर्यो","Took up ininteresting job"
"i_empl_covid_effects","4",124,"0.652632","तलब कटौती भयो","Salary cut"
"i_empl_covid_effects","5",157,"0.826316","पालो गरेर/कुरेर काम गर्नुपर्यो (Rotational employment)","Rotational employment"
"i_empl_covid_effects","6",174,"0.915789","कामको लागि आवश्यक लाइसेन्स (license), परमिट (permit) आदि लिन / नवीकारण गर्न पाइएन","Couldn't renew licences and permits"
"i_empl_covid_effects","7",172,"0.905263","अन्य समस्या भोग्नुपर्यो","Other"
"i_empl_covid_effects","8",187,"0.984211","केहि भोग्नुपरेन","No effect"
"i_econ_covid_effects","1",140,"0.736842","पैसा सापटी लिनुपर्यो (बैंक वा अन्य वित्तीय संस्थाबाट)","Loan through financial institutions"
"i_econ_covid_effects","2",38,"0.2","पैसा सापटी लिनुपर्यो (साथीभाइ वा आफन्तीबाट)","Loan through friends and family"
"i_econ_covid_effects","3",149,"0.784211","परिवारमा कसैको शिक्षा रोक्नुपर्यो","Stopped education of a family member"
"i_econ_covid_effects","4",163,"0.857895","परिवारमा कसैको स्वास्थ्य सम्बन्धि सेवा रोक्नुपर्यो","Stopped health services for family members"
"i_econ_covid_effects","5",146,"0.768421","गहना, टी.भी., फ्रिज, मोटरसाइकल, गाडी जस्ता सामानहरू बेच्नुपर्यो (घराएसी प्रयोजनको सामान)","Sold personal assets"
"i_econ_covid_effects","6",176,"0.926316","आफ्नो रोजगारको लागि आवश्यक पर्ने सामान जस्तै क्यामेरा, आदि बेच्नुपर्यो","Sold professional assets (camera, etc.)"
"i_econ_covid_effects","7",175,"0.921053","घर-जग्गा बेच्नुपर्यो","Sold land or property"
"i_econ_covid_effects","8",176,"0.926316","अन्य समस्या भोग्नुपर्यो","Other"
"i_econ_covid_effects","9",182,"0.957895","केहि भोग्नुपरेन","No effect"
"b_empl_wrk_type","1",65,"0.342105","मौसमी काम (seasonal work)","Seasonal work"
"b_empl_wrk_type","2",150,"0.789474","दैनिकी ज्याला / ज्यालादारी काम (daily wages)","Daily wages"
"b_empl_wrk_type","3",135,"0.710526","मासिक तलब आउने काम (monthly salary)","Monthly salary"
"b_empl_wrk_type","4",187,"0.984211","अन्य","Other"
"b_empl_trsm_org","1",178,"0.936842","ANTWU","ANTWU"
"b_empl_trsm_org","2",174,"0.915789","NIHWU","NIHWU"
"b_empl_trsm_org","3",116,"0.610526","NITWOG","NITWOG"
"b_empl_trsm_org","4",188,"0.989474","NSPWTU","NSPWTU"
"b_empl_trsm_org","5",178,"0.936842","NTWU","NTWU"
"b_empl_trsm_org","6",190,"1","RTWUN","RTWUN"
"b_empl_trsm_org","7",165,"0.868421","UNITRAV","UNITRAV"
"b_empl_trsm_org","8",132,"0.694737","अन्य","अन्य"
"b_empl_trsm_major_districts","1",189,"0.994737","अछाम","Achham"
"b_empl_trsm_major_districts","2",189,"0.994737","अर्घाखाँची","Arghakhanchi"
"b_empl_trsm_major_districts","3",183,"0.963158","बागलुङ","Baglung"
"b_empl_trsm_major_districts","4",189,"0.994737","बैतडी","Baitadi"
"b_empl_trsm_major_districts","5",186,"0.978947","बझाङ","Bajhang"
"b_empl_trsm_major_districts","6",189,"0.994737","बाजुरा","Bajura"
"b_empl_trsm_major_districts","7",188,"0.989474","बाँके","Banke"
"b_empl_trsm_major_districts","8",189,"0.994737","बारा","Bara"
"b_empl_trsm_major_districts","9",184,"0.968421","बर्दिया","Bardiya"
"b_empl_trsm_major_districts","10",157,"0.826316","भक्तपुर","Bhaktapur"
"b_empl_trsm_major_districts","11",185,"0.973684","भोजपुर","Bhojpur"
"b_empl_trsm_major_districts","12",143,"0.752632","चितवन","Chitawan"
"b_empl_trsm_major_districts","13",188,"0.989474","डडेलधुरा","Dadeldhura"
"b_empl_trsm_major_districts","14",188,"0.989474","दैलेख","Dailekh"
"b_empl_trsm_major_districts","15",189,"0.994737","दाङ","Dang"
"b_empl_trsm_major_districts","16",185,"0.973684","दार्चुला","Darchula"
"b_empl_trsm_major_districts","17",168,"0.884211","धादिङ","Dhading"
"b_empl_trsm_major_districts","18",186,"0.978947","धनकुटा","Dhankuta"
"b_empl_trsm_major_districts","19",188,"0.989474","धनुषा","Dhanusa"
"b_empl_trsm_major_districts","20",159,"0.836842","दोलखा","Dolakha"
"b_empl_trsm_major_districts","21",156,"0.821053","डोल्पा","Dolpa"
