"variable","value","total","perc_of_total","label_ne","label_en"
"i_empl_jb_prsnt_status","3",84,"0.7850467","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",NA
"i_empl_jb_prsnt_status","4",1,"0.0093458","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",NA
"i_empl_lst_date_full_salary","1",87,"0.8130841","कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले) (Before March 2020)",NA
"i_empl_lst_date_full_salary","2",6,"0.0560748","बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)",NA
"i_empl_lst_date_full_salary","3",4,"0.0373832","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)",NA
"i_empl_lst_date_full_salary","4",8,"0.0747664","माघ २०७७ पछि (After December 2021)",NA
"i_empl_lst_date_full_salary","5",2,"0.0186916","मेरो पूर्ण तलब (आम्दानी)मा कोभिड-१९ले कुनै असर नगरेको",NA
"i_hlth_covid_infectn_family","1",8,"0.0747664","छ/थियो",NA
"i_hlth_covid_infectn_family","2",99,"0.9252336","छैन/थिएन",NA
"i_hlth_covid_infectn_self","1",6,"0.0560748","छ/थियो",NA
"i_hlth_covid_infectn_self","2",101,"0.9439252","छैन/थिएन",NA
"i_hlth_covid_infectn_self_time","2",4,"0.6666667","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)",NA
"i_hlth_covid_infectn_self_time","3",2,"0.3333333","माघ २०७७ पछि (After December 2021)",NA
"i_lvlhd_domicile_chng_self","1",21,"0.1962617","पर्यो, तर म फेरि त्यहि ठाउँमा आई सकेको छु",NA
"i_lvlhd_domicile_chng_self","2",34,"0.317757","पर्यो, म त्यहि गाउँ/सहरको अर्को ठाउँमा सरेको छु",NA
"i_lvlhd_domicile_chng_self","3",7,"0.0654206","पर्यो, म अर्कै गाउँ/सहरमा सरेको छु",NA
"i_lvlhd_domicile_chng_self","4",45,"0.4205607","परेन",NA
"i_lvlhd_domicile_chng_self_temp_tm_prd","1",2,"0.0952381","१ महिना भन्दा कम",NA
"i_lvlhd_domicile_chng_self_temp_tm_prd","2",7,"0.3333333","२-६ महिना सम्म",NA
"i_lvlhd_domicile_chng_self_temp_tm_prd","3",12,"0.5714286","६ महिना भन्दा बढी",NA
"i_mental_hlth_blame","1",47,"0.4392523","छैन",NA
"i_mental_hlth_blame","2",60,"0.5607477","छ",NA
"i_mental_hlth_detached","1",29,"0.271028","छैन",NA
"i_mental_hlth_detached","2",78,"0.728972","छ",NA
"i_mental_hlth_fml","1",44,"0.411215","छैन",NA
"i_mental_hlth_fml","2",63,"0.588785","छ",NA
"i_mental_hlth_neg_think","1",45,"0.4205607","छैन",NA
"i_mental_hlth_neg_think","2",62,"0.5794393","छ",NA
"i_mental_hlth_overconcerned","1",58,"0.5420561","छैन",NA
"i_mental_hlth_overconcerned","2",49,"0.4579439","छ",NA
"i_mental_hlth_social","1",19,"0.1775701","छैन",NA
"i_mental_hlth_social","2",88,"0.8224299","छ",NA
"i_mental_hlth_therapy","1",87,"0.8130841","छैन",NA
"i_mental_hlth_therapy","2",20,"0.1869159","छ",NA
"i_mental_hlth_think","1",32,"0.2990654","छैन",NA
"i_mental_hlth_think","2",75,"0.7009346","छ",NA
"m_age","1",3,"0.0280374","०-२० बर्ष",NA
"m_age","2",88,"0.8224299","२१-४० बर्ष",NA
"m_age","3",16,"0.1495327","४१-६० वर्ष",NA
"m_dist_perm","1",1,"0.0093458","अछाम","Achham"
"m_dist_perm","10",1,"0.0093458","भक्तपुर","Bhaktapur"
"m_dist_perm","11",1,"0.0093458","भोजपुर","Bhojpur"
"m_dist_perm","12",3,"0.0280374","चितवन","Chitawan"
"m_dist_perm","15",1,"0.0093458","दाङ","Dang"
"m_dist_perm","17",2,"0.0186916","धादिङ","Dhading"
"m_dist_perm","19",1,"0.0093458","धनुषा","Dhanusa"
"m_dist_perm","20",4,"0.0373832","दोलखा","Dolakha"
"m_dist_perm","23",8,"0.0747664","गोरखा","Gorkha"
"m_dist_perm","26",1,"0.0093458","इलाम","Ilam"
"m_dist_perm","28",1,"0.0093458","झापा","Jhapa"
"m_dist_perm","34",1,"0.0093458","कास्की","Kaski"
"m_dist_perm","35",5,"0.046729","काठमाडौँ","Kathmandu"
"m_dist_perm","37",5,"0.046729","खोटाँग","Khotang"
"m_dist_perm","38",2,"0.0186916","ललितपुर","Lalitpur"
"m_dist_perm","39",1,"0.0093458","लमजुङ","Lamjung"
"m_dist_perm","41",1,"0.0093458","मकवानपुर","Makwanpur"
"m_dist_perm","49",3,"0.0280374","नुवाकोट","Nuwakot"
"m_dist_perm","50",1,"0.0093458","ओखलढुंगा","Okhaldhunga"
"m_dist_perm","56",3,"0.0280374","रामेछाप","Ramechhap"
"m_dist_perm","57",9,"0.0841121","रसुवा","Rasuwa"
"m_dist_perm","60",1,"0.0093458","पूर्वी रूकुम","Rukum East"
"m_dist_perm","64",8,"0.0747664","संखुवासभा","Sankhuwasabha"
"m_dist_perm","66",2,"0.0186916","सर्लाही","Sarlahi"
"m_dist_perm","67",2,"0.0186916","सिन्धुली","Sindhuli"
"m_dist_perm","70",35,"0.3271028","सोलुखुम्बू","Solukhumbu"
"m_dist_perm","71",1,"0.0093458","सुनसरी","Sunsari"
"m_dist_perm","73",1,"0.0093458","स्याङग्जा","Syangja"
"m_dist_perm","74",1,"0.0093458","तनहुँ","Tanahu"
"m_dist_perm","77",1,"0.0093458","उदयपुर","Udayapur"
"m_dist_temp","10",3,"0.0280374","भक्तपुर","Bhaktapur"
"m_dist_temp","12",3,"0.0280374","चितवन","Chitawan"
"m_dist_temp","20",2,"0.0186916","दोलखा","Dolakha"
"m_dist_temp","23",1,"0.0093458","गोरखा","Gorkha"
"m_dist_temp","34",2,"0.0186916","कास्की","Kaski"
"m_dist_temp","35",85,"0.7943925","काठमाडौँ","Kathmandu"
"m_dist_temp","38",3,"0.0280374","ललितपुर","Lalitpur"
"m_dist_temp","57",1,"0.0093458","रसुवा","Rasuwa"
"m_dist_temp","64",1,"0.0093458","संखुवासभा","Sankhuwasabha"
"m_dist_temp","70",6,"0.0560748","सोलुखुम्बू","Solukhumbu"
"m_edu_levl","1",1,"0.0093458","निरक्षर",NA
"m_edu_levl","2",16,"0.1495327","अक्षर चिन्ने",NA
"m_edu_levl","3",31,"0.2897196","एस्.एल.सी.",NA
"m_edu_levl","4",35,"0.3271028","+२' वा सो सरह",NA
"m_edu_levl","5",18,"0.1682243","स्नातक",NA
"m_edu_levl","6",6,"0.0560748","स्नातकोत्तर वा माथि",NA
"m_gender","1",98,"0.9158879","पुरुष",NA
"m_gender","2",9,"0.0841121","महिला",NA
"m_mun_perm","1001",1,"0.125","सुर्यविनायक नगरपालिका",NA
"m_mun_perm","3501",5,"0.625","शंखरापुर नगरपालिका",NA
"m_mun_perm","3801",2,"0.25","महाङ्काल गाउँपालिका",NA
"m_mun_temp","1001",3,"0.032967","सुर्यविनायक नगरपालिका",NA
"m_mun_temp","3501",85,"0.9340659","शंखरापुर नगरपालिका",NA
"m_mun_temp","3801",3,"0.032967","महाङ्काल गाउँपालिका",NA
"m_years_of_experience","1",6,"0.0560748","०-२ वर्ष",NA
"m_years_of_experience","2",12,"0.1121495","३-५ वर्ष",NA
"m_years_of_experience","3",49,"0.4579439","६-१० वर्ष",NA
"m_years_of_experience","4",20,"0.1869159","११-१५ बर्ष",NA
"m_years_of_experience","5",20,"0.1869159","१५ वर्ष भन्दा बढी",NA
"o_econ_impact_fml_income_chng_21_v_19","1",10,"0.0934579","कुल आय लगभग उत्तिक्कै हुन्छ होला",NA
"o_econ_impact_fml_income_chng_21_v_19","2",5,"0.046729","कुल आय एक-चौथाई (२५%)ले घट्छ होला",NA
"o_econ_impact_fml_income_chng_21_v_19","3",5,"0.046729","कुल आय आधि (५०%)ले घट्छ होला",NA
"o_econ_impact_fml_income_chng_21_v_19","4",13,"0.1214953","कुल आय तीन-चौथाई (७५%)ले घट्छ होला",NA
"o_econ_impact_fml_income_chng_21_v_19","5",73,"0.682243","कुल आय लगभग शुन्य (०%) हुन्छ होला",NA
"o_econ_impact_fml_income_chng_21_v_19","6",1,"0.0093458","कुल आय बढ्छ होला",NA
"o_econ_impact_how_long_months","1",2,"0.0186916","६ महिना भन्दा कम",NA
"o_econ_impact_how_long_months","2",27,"0.2523364","६ देखि १२ महिना सम्म",NA
"o_econ_impact_how_long_months","3",44,"0.411215","१३ देखि २४ महिना सम्म",NA
"o_econ_impact_how_long_months","4",34,"0.317757","२४ महिना भन्दा बढी",NA
"o_empl_status_to_nrml_how_long_months","1",3,"0.0280374","तुरुन्तै",NA
"o_empl_status_to_nrml_how_long_months","2",4,"0.0373832","सुचारु भएको ३ महिना भित्र",NA
"o_empl_status_to_nrml_how_long_months","3",23,"0.2149533","सुचारु भएको १२ महिना भित्र",NA
"o_empl_status_to_nrml_how_long_months","4",1,"0.0093458","म पर्यटन क्षेत्रमा अब काम नगर्ने भएको छु",NA
"o_empl_status_to_nrml_how_long_months","5",76,"0.7102804","केहि भन्न सकिंदैन",NA
"p_econ_outstndng_loans_self","1",2,"0.0186916","छैन",NA
"p_econ_outstndng_loans_self","2",105,"0.9813084","छ",NA
"p_econ_self_savings_chng_today_v_19","1",5,"0.046729","लगभग उत्तिकै बाँकी छ",NA
"p_econ_self_savings_chng_today_v_19","2",6,"0.0560748","तीन-चौथाई (७५%) बाँकी छ",NA
"p_econ_self_savings_chng_today_v_19","3",1,"0.0093458","आधि (५०%) बाँकी छ",NA
"p_econ_self_savings_chng_today_v_19","4",74,"0.6915888","एक-चौथाई (२५%) बाँकी छ",NA
"p_econ_self_savings_chng_today_v_19","5",21,"0.1962617","लगभग शुन्य बाँकी छ",NA
"p_hlth_received_hhs_training_self","1",104,"0.9719626","छैन",NA
"p_hlth_received_hhs_training_self","2",3,"0.0280374","छ",NA
"p_hlth_vaccinated_self","1",53,"0.4953271","छैन",NA
"p_hlth_vaccinated_self","2",54,"0.5046729","छ",NA
"p_lvlhd_num_depndnt_fml_membrs_post_covid","1",9,"0.0841121","१ जना (म मात्रै)",NA
"p_lvlhd_num_depndnt_fml_membrs_post_covid","2",8,"0.0747664","२ जना",NA
"p_lvlhd_num_depndnt_fml_membrs_post_covid","3",63,"0.588785","३-५ जना",NA
"p_lvlhd_num_depndnt_fml_membrs_post_covid","4",27,"0.2523364","५ जना भन्दा बढी",NA
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","1",4,"0.0373832","१ जना (म मात्रै)",NA
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","2",8,"0.0747664","२ जना",NA
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","3",66,"0.6168224","३-५ जना",NA
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","4",29,"0.271028","५ जना भन्दा बढी",NA
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","1",80,"0.7476636","शुन्य (०) जना",NA
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","2",12,"0.1121495","१-२ जना",NA
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","3",11,"0.1028037","३-५ जना",NA
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","4",4,"0.0373832","५ जना भन्दा बढी",NA
"p_hlth_info_covid_src","1",75,"0.700935","परिवार जन तथा छिमेकी",NA
"p_hlth_info_covid_src","2",13,"0.121495","सामाजिक संजाल",NA
"p_hlth_info_covid_src","3",87,"0.813084","रेडियो",NA
"p_hlth_info_covid_src","4",36,"0.336449","टेलिभिजन",NA
"p_hlth_info_covid_src","5",55,"0.514019","पत्र-पत्रिका",NA
"p_hlth_info_covid_src","6",97,"0.906542","नजिकैको स्वास्थ्य सेवा",NA
"p_hlth_info_covid_src","7",107,"1","अन्य",NA
"p_hlth_hhs_training_src","1",3,"0.0280374","सरकारी निकायबाट",NA
"p_hlth_hhs_training_src","2",3,"0.0280374","गैर-सरकारी संघ-संस्थाबाट",NA
"p_hlth_hhs_training_src","3",2,"0.0186916","रोजगारदाताबाट",NA
"p_hlth_hhs_training_src","4",1,"0.00934579","पर्यटकीय संघ-संस्थाबाट (जस्तै होटेल व्यवसाय महासंघ, TAAN, HAN, UNITRAV, JOTTUF आदि)",NA
"p_hlth_hhs_training_src","5",3,"0.0280374","अन्य",NA
"p_econ_hhd_items_pre_covid","1",40,"0.373832","जग्गा / जमिन",NA
"p_econ_hhd_items_pre_covid","2",35,"0.327103","टेलिभिजन",NA
"p_econ_hhd_items_pre_covid","3",79,"0.738318","केबुल टेलिभिजन",NA
"p_econ_hhd_items_pre_covid","4",75,"0.700935","कम्प्युटर / ल्याप्टप",NA
"p_econ_hhd_items_pre_covid","5",63,"0.588785","इन्टरनेट",NA
"p_econ_hhd_items_pre_covid","6",94,"0.878505","टेलिफोन",NA
"p_econ_hhd_items_pre_covid","7",11,"0.102804","मोबाइल फोन",NA
"p_econ_hhd_items_pre_covid","8",84,"0.785047","रेफ्रीजरेटर",NA
"p_econ_hhd_items_pre_covid","9",69,"0.64486","मोटरसाइकल",NA
"p_econ_hhd_items_pre_covid","10",107,"1","पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन",NA
"p_econ_hhd_items_pre_covid","11",104,"0.971963","व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन",NA
"p_econ_hhd_items_pre_covid","12",106,"0.990654","माथिका कुनै पनि सुविधाहरू नभएको",NA
"p_econ_hhd_items_post_covid","1",44,"0.411215","जग्गा / जमिन",NA
"p_econ_hhd_items_post_covid","2",51,"0.476636","टेलिभिजन",NA
"p_econ_hhd_items_post_covid","3",82,"0.766355","केबुल टेलिभिजन",NA
"p_econ_hhd_items_post_covid","4",88,"0.82243","कम्प्युटर / ल्याप्टप",NA
"p_econ_hhd_items_post_covid","5",78,"0.728972","इन्टरनेट",NA
"p_econ_hhd_items_post_covid","6",100,"0.934579","टेलिफोन",NA
"p_econ_hhd_items_post_covid","7",13,"0.121495","मोबाइल फोन",NA
"p_econ_hhd_items_post_covid","8",92,"0.859813","रेफ्रीजरेटर",NA
"p_econ_hhd_items_post_covid","9",80,"0.747664","मोटरसाइकल",NA
"p_econ_hhd_items_post_covid","10",106,"0.990654","पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन",NA
"p_econ_hhd_items_post_covid","11",107,"1","व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन",NA
"p_econ_hhd_items_post_covid","12",102,"0.953271","माथिका कुनै पनि सुविधाहरू नभएको",NA
"o_rcvry_chllng_trsm_revival","1",47,"0.439252","कोभिड-१९ को सन्दर्भमा पर्यटकको बिश्वाश जित्ने",NA
"o_rcvry_chllng_trsm_revival","2",13,"0.121495","स्वास्थ्य र सुरक्षा उपायहरू सुनिश्चित गर्ने",NA
"o_rcvry_chllng_trsm_revival","3",35,"0.327103","आर्थिक चुनौतीहरू",NA
"o_rcvry_chllng_trsm_revival","4",35,"0.327103","पर्यटकको संख्यामा आउने कमि",NA
"o_rcvry_chllng_trsm_revival","5",88,"0.82243","स्रोत बजार (Source market) को मांग र आवश्यकता सही ढङ्गमा बुझ्ने",NA
"o_rcvry_chllng_trsm_revival","6",103,"0.962617","अन्य",NA
"o_rcvry_chllng_trsm_revival","7",106,"0.990654","म संलग्न रहेको पर्यटन क्षेत्रमा कुनै किसिमका चुनौतीहरू छैनन्",NA
"o_impct_to_self_nxt_6_mnths","1",75,"0.700935","घर/कोठा भाडा तिर्न सकिन्न (आम्सिक)",NA
"o_impct_to_self_nxt_6_mnths","2",25,"0.233645","घर/कोठा भाडा तिर्न सकिन्न (पूर्ण)",NA
"o_impct_to_self_nxt_6_mnths","3",42,"0.392523","स्वास्थ्य सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","4",52,"0.485981","शैक्षिक सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","5",36,"0.336449","खानपिनको लागि आवश्यक खर्च जुटाउन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","6",46,"0.429907","ऋण तथा सापटी लिन सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","7",28,"0.261682","ऋण तथा सापटी तिर्न सकिन्न",NA
"o_impct_to_self_nxt_6_mnths","8",106,"0.990654","अन्य",NA
"o_impct_to_self_nxt_6_mnths","9",106,"0.990654","मलाई कोभिड-१९ ले कुनै प्रकारको अवस्था भोग्नु नपर्ला",NA
"n_rcvry_preferred_incentives","1",77,"0.719626","स्वास्थ्य सम्बन्धि तालिम वा पुन:प्रशिक्षण",NA
"n_rcvry_preferred_incentives","2",48,"0.448598","रोजगारीमूलक तालिम वा पुन:प्रशिक्षण",NA
"n_rcvry_preferred_incentives","3",72,"0.672897","नयाँ सीप सिक्ने अवसर",NA
"n_rcvry_preferred_incentives","4",70,"0.654206","नयाँ रोजगारीको अवसर",NA
"n_rcvry_preferred_incentives","5",27,"0.252336","सहुलियत दरमा ऋण",NA
"n_rcvry_preferred_incentives","6",64,"0.598131","ब्याज दरमा बिशेष छूट",NA
"n_rcvry_preferred_incentives","7",87,"0.813084","करमा छूट",NA
"n_rcvry_preferred_incentives","8",90,"0.841121","बैंक आदि लगायतको किस्ता तिर्ने अवधि बढाउने वा केहि समयका लागि किस्ता तिर्न नपर्ने (Deferral or extension of EMI periods)",NA
"n_rcvry_preferred_incentives","9",47,"0.439252","सामाजिक सुरक्षाको व्यवस्था",NA
"n_rcvry_preferred_incentives","10",38,"0.35514","अनुदान",NA
"n_rcvry_preferred_incentives","11",78,"0.728972","मानसिक तनाव कम गर्न स्वास्थ्य परामर्श",NA
"n_rcvry_preferred_incentives","12",107,"1","अन्य",NA
"n_rcvry_preferred_incentives","13",106,"0.990654","मलाई कोभिड-१९ ले कुनै प्रकारको असर गरेन",NA
"i_empl_covid_effects","1",13,"0.121495","रोजगार गुमाउनुपर्यो",NA
"i_empl_covid_effects","2",94,"0.878505","स्व-रोजगार गुमाउनुपर्यो",NA
"i_empl_covid_effects","3",95,"0.88785","मन नलागेको काम गर्नुपर्यो",NA
"i_empl_covid_effects","4",82,"0.766355","तलब कटौती भयो",NA
"i_empl_covid_effects","5",94,"0.878505","पालो गरेर/कुरेर काम गर्नुपर्यो (Rotational employment)",NA
"i_empl_covid_effects","6",96,"0.897196","कामको लागि आवश्यक लाइसेन्स (license), परमिट (permit) आदि लिन / नवीकारण गर्न पाइएन",NA
"i_empl_covid_effects","7",96,"0.897196","अन्य समस्या भोग्नुपर्यो",NA
"i_empl_covid_effects","8",106,"0.990654","केहि भोग्नुपरेन",NA
"i_econ_covid_effects","1",86,"0.803738","पैसा सापटी लिनुपर्यो (बैंक वा अन्य वित्तीय संस्थाबाट)",NA
"i_econ_covid_effects","2",11,"0.102804","पैसा सापटी लिनुपर्यो (साथीभाइ वा आफन्तीबाट)",NA
"i_econ_covid_effects","3",78,"0.728972","परिवारमा कसैको शिक्षा रोक्नुपर्यो",NA
"i_econ_covid_effects","4",88,"0.82243","परिवारमा कसैको स्वास्थ्य सम्बन्धि सेवा रोक्नुपर्यो",NA
"i_econ_covid_effects","5",83,"0.775701","गहना, टी.भी., फ्रिज, मोटरसाइकल, गाडी जस्ता सामानहरू बेच्नुपर्यो (घराएसी प्रयोजनको सामान)",NA
"i_econ_covid_effects","6",99,"0.925234","आफ्नो रोजगारको लागि आवश्यक पर्ने सामान जस्तै क्यामेरा, आदि बेच्नुपर्यो",NA
"i_econ_covid_effects","7",99,"0.925234","घर-जग्गा बेच्नुपर्यो",NA
"i_econ_covid_effects","8",100,"0.934579","अन्य समस्या भोग्नुपर्यो",NA
"i_econ_covid_effects","9",105,"0.981308","केहि भोग्नुपरेन",NA
"b_empl_wrk_type","1",15,"0.140187","मौसमी काम (seasonal work)",NA
"b_empl_wrk_type","2",89,"0.831776","दैनिकी ज्याला / ज्यालादारी काम (daily wages)",NA
"b_empl_wrk_type","3",94,"0.878505","मासिक तलब आउने काम (monthly salary)",NA
"b_empl_wrk_type","4",106,"0.990654","अन्य",NA
"b_empl_trsm_org","1",102,"0.953271","ANTWU",NA
"b_empl_trsm_org","2",105,"0.981308","NIHWU",NA
"b_empl_trsm_org","3",38,"0.35514","NITWOG",NA
"b_empl_trsm_org","4",107,"1","NSPWTU",NA
"b_empl_trsm_org","5",105,"0.981308","NTWU",NA
"b_empl_trsm_org","6",107,"1","RTWUN",NA
"b_empl_trsm_org","7",88,"0.82243","UNITRAV",NA
"b_empl_trsm_org","8",90,"0.841121","अन्य",NA
"b_empl_trsm_major_districts","1",107,"1","अछाम","Achham"
"b_empl_trsm_major_districts","2",107,"1","अर्घाखाँची","Arghakhanchi"
"b_empl_trsm_major_districts","3",104,"0.971963","बागलुङ","Baglung"
"b_empl_trsm_major_districts","4",107,"1","बैतडी","Baitadi"
"b_empl_trsm_major_districts","5",105,"0.981308","बझाङ","Bajhang"
"b_empl_trsm_major_districts","6",107,"1","बाजुरा","Bajura"
"b_empl_trsm_major_districts","7",106,"0.990654","बाँके","Banke"
"b_empl_trsm_major_districts","8",107,"1","बारा","Bara"
"b_empl_trsm_major_districts","9",104,"0.971963","बर्दिया","Bardiya"
"b_empl_trsm_major_districts","10",88,"0.82243","भक्तपुर","Bhaktapur"
"b_empl_trsm_major_districts","11",106,"0.990654","भोजपुर","Bhojpur"
"b_empl_trsm_major_districts","12",79,"0.738318","चितवन","Chitawan"
"b_empl_trsm_major_districts","13",106,"0.990654","डडेलधुरा","Dadeldhura"
"b_empl_trsm_major_districts","14",106,"0.990654","दैलेख","Dailekh"
"b_empl_trsm_major_districts","15",107,"1","दाङ","Dang"
"b_empl_trsm_major_districts","16",103,"0.962617","दार्चुला","Darchula"
"b_empl_trsm_major_districts","17",95,"0.88785","धादिङ","Dhading"
"b_empl_trsm_major_districts","18",106,"0.990654","धनकुटा","Dhankuta"
"b_empl_trsm_major_districts","19",106,"0.990654","धनुषा","Dhanusa"
"b_empl_trsm_major_districts","20",84,"0.785047","दोलखा","Dolakha"
"b_empl_trsm_major_districts","21",80,"0.747664","डोल्पा","Dolpa"
"b_empl_trsm_major_districts","22",107,"1","डोटी","Doti"
"b_empl_trsm_major_districts","23",52,"0.485981","गोरखा","Gorkha"
"b_empl_trsm_major_districts","24",105,"0.981308","गुल्मी","Gulmi"
"b_empl_trsm_major_districts","25",94,"0.878505","हुम्ला","Humla"
"b_empl_trsm_major_districts","26",100,"0.934579","इलाम","Ilam"
"b_empl_trsm_major_districts","27",102,"0.953271","जाजरकोट","Jajarkot"
"b_empl_trsm_major_districts","28",105,"0.981308","झापा","Jhapa"
"b_empl_trsm_major_districts","29",98,"0.915888","जुम्ला","Jumla"
"b_empl_trsm_major_districts","30",106,"0.990654","कैलाली","Kailali"
"b_empl_trsm_major_districts","31",104,"0.971963","कालिकोट","Kalikot"
"b_empl_trsm_major_districts","32",107,"1","कंचनपुर","Kanchanpur"
"b_empl_trsm_major_districts","33",99,"0.925234","कपिलवस्तु","Kapilbastu"
"b_empl_trsm_major_districts","34",44,"0.411215","कास्की","Kaski"
"b_empl_trsm_major_districts","35",59,"0.551402","काठमाडौँ","Kathmandu"
"b_empl_trsm_major_districts","36",99,"0.925234","काभ्रेपलान्चोक","Kavrepalanchok"
"b_empl_trsm_major_districts","37",106,"0.990654","खोटाँग","Khotang"
"b_empl_trsm_major_districts","38",91,"0.850467","ललितपुर","Lalitpur"
"b_empl_trsm_major_districts","39",84,"0.785047","लमजुङ","Lamjung"
"b_empl_trsm_major_districts","40",106,"0.990654","महोत्तरी","Mahottari"
"b_empl_trsm_major_districts","41",107,"1","मकवानपुर","Makwanpur"
"b_empl_trsm_major_districts","42",44,"0.411215","मनाङ","Manang"
"b_empl_trsm_major_districts","43",105,"0.981308","मोरंग","Morang"
"b_empl_trsm_major_districts","44",92,"0.859813","मुगु","Mugu"
"b_empl_trsm_major_districts","45",49,"0.457944","मुस्ताङ","Mustang"
"b_empl_trsm_major_districts","46",76,"0.71028","म्याग्दी","Myagdi"
"b_empl_trsm_major_districts","47",107,"1","नवलपुर","Nawalpur"
"b_empl_trsm_major_districts","48",107,"1","परासी","Parasi"
"b_empl_trsm_major_districts","49",95,"0.88785","नुवाकोट","Nuwakot"
"b_empl_trsm_major_districts","50",101,"0.943925","ओखलढुंगा","Okhaldhunga"
"b_empl_trsm_major_districts","51",103,"0.962617","पाल्पा","Palpa"
"b_empl_trsm_major_districts","52",106,"0.990654","पांचथर","Panchthar"
"b_empl_trsm_major_districts","53",106,"0.990654","पर्वत","Parbat"
"b_empl_trsm_major_districts","54",107,"1","पर्सा","Parsa"
"b_empl_trsm_major_districts","55",107,"1","प्युठान","Pyuthan"
"b_empl_trsm_major_districts","56",98,"0.915888","रामेछाप","Ramechhap"
"b_empl_trsm_major_districts","57",50,"0.46729","रसुवा","Rasuwa"
"b_empl_trsm_major_districts","58",106,"0.990654","रौतहट","Rautahat"
"b_empl_trsm_major_districts","59",103,"0.962617","रोल्पा","Rolpa"
"b_empl_trsm_major_districts","60",101,"0.943925","पूर्वी रूकुम","Rukum East"
"b_empl_trsm_major_districts","61",102,"0.953271","पश्चिमी रूकुम","Rukum West"
"b_empl_trsm_major_districts","62",103,"0.962617","रुपन्देही","Rupandehi"
"b_empl_trsm_major_districts","63",107,"1","सल्यान","Salyan"
"b_empl_trsm_major_districts","64",91,"0.850467","संखुवासभा","Sankhuwasabha"
