"variable","value","total","perc_of_total","choice_code","label_ne","label_en","variable_group"
"i_empl_jb_prsnt_status","3",136,"0.7157895",25,"अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)","No, currently unemployed but looking for work","Impact"
"i_empl_jb_prsnt_status","4",2,"0.0105263",26,"छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु","No, completely left","Impact"
"i_empl_lst_date_full_salary","1",151,"0.7947368",27,"कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले) (Before March 2020)","Before March 2020","Impact"
"i_empl_lst_date_full_salary","2",14,"0.0736842",28,"बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)","Between March and September 2020","Impact"
"i_empl_lst_date_full_salary","3",7,"0.0368421",29,"कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)","Between October and December 2020","Impact"
"i_empl_lst_date_full_salary","4",16,"0.0842105",30,"माघ २०७७ पछि (After December 2021)","After December 2021","Impact"
"i_empl_lst_date_full_salary","5",2,"0.0105263",31,"मेरो पूर्ण तलब (आम्दानी)मा कोभिड-१९ले कुनै असर नगरेको","No change due to Covid 19","Impact"
"i_hlth_covid_infectn_family","1",16,"0.0842105",32,"छ/थियो","Yes","Impact"
"i_hlth_covid_infectn_family","2",174,"0.9157895",33,"छैन/थिएन","No","Impact"
"i_hlth_covid_infectn_self","1",11,"0.0578947",34,"छ/थियो","Yes","Impact"
"i_hlth_covid_infectn_self","2",179,"0.9421053",35,"छैन/थिएन","No","Impact"
"i_hlth_covid_infectn_self_time","1",1,"0.0909091",36,"बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)","Between March and September 2020","Impact"
"i_hlth_covid_infectn_self_time","2",8,"0.7272727",37,"कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)","Between October and December 2020","Impact"
"i_hlth_covid_infectn_self_time","3",2,"0.1818182",38,"माघ २०७७ पछि (After December 2021)","After December 2021","Impact"
"i_lvlhd_domicile_chng_self","1",47,"0.2473684",39,"पर्यो, तर म फेरि त्यहि ठाउँमा आई सकेको छु","Yes, but I've moved back since","Impact"
"i_lvlhd_domicile_chng_self","2",45,"0.2368421",40,"पर्यो, म त्यहि गाउँ/सहरको अर्को ठाउँमा सरेको छु","Yes, switched to a different neighbourhood","Impact"
"i_lvlhd_domicile_chng_self","3",12,"0.0631579",41,"पर्यो, म अर्कै गाउँ/सहरमा सरेको छु","Yes, swiched to a new village/city","Impact"
"i_lvlhd_domicile_chng_self","4",86,"0.4526316",42,"परेन","No","Impact"
"i_lvlhd_domicile_chng_self_temp_tm_prd","1",5,"0.106383",43,"१ महिना भन्दा कम","Less than a month","Impact"
"i_lvlhd_domicile_chng_self_temp_tm_prd","2",13,"0.2765957",44,"२-६ महिना सम्म","2 to 6 months","Impact"
"i_lvlhd_domicile_chng_self_temp_tm_prd","3",29,"0.6170213",45,"६ महिना भन्दा बढी","More than 6 months","Impact"
"i_mental_hlth_blame","1",114,"0.6",46,"छैन","No","Impact"
"i_mental_hlth_blame","2",76,"0.4",47,"छ","Yes","Impact"
"i_mental_hlth_detached","1",64,"0.3368421",48,"छैन","No","Impact"
"i_mental_hlth_detached","2",126,"0.6631579",49,"छ","Yes","Impact"
"i_mental_hlth_fml","1",97,"0.5105263",50,"छैन","No","Impact"
"i_mental_hlth_fml","2",93,"0.4894737",51,"छ","Yes","Impact"
"i_mental_hlth_neg_think","1",87,"0.4578947",52,"छैन","No","Impact"
"i_mental_hlth_neg_think","2",103,"0.5421053",53,"छ","Yes","Impact"
"i_mental_hlth_overconcerned","1",108,"0.5684211",54,"छैन","No","Impact"
"i_mental_hlth_overconcerned","2",82,"0.4315789",55,"छ","Yes","Impact"
"i_mental_hlth_social","1",50,"0.2631579",56,"छैन","No","Impact"
"i_mental_hlth_social","2",140,"0.7368421",57,"छ","Yes","Impact"
"i_mental_hlth_therapy","1",165,"0.8684211",58,"छैन","No","Impact"
"i_mental_hlth_therapy","2",25,"0.1315789",59,"छ","Yes","Impact"
"i_mental_hlth_think","1",41,"0.2157895",60,"छैन","No","Impact"
"i_mental_hlth_think","2",149,"0.7842105",61,"छ","Yes","Impact"
"m_age","1",5,"0.0263158",62,"०-२० बर्ष","Less than 20 years","Metadata"
"m_age","2",156,"0.8210526",63,"२१-४० बर्ष","21 - 40 years","Metadata"
"m_age","3",29,"0.1526316",64,"४१-६० वर्ष","41 - 60 years","Metadata"
"m_dist_perm","1",2,"0.0105263",66,"अछाम","Achham","Metadata"
"m_dist_perm","10",2,"0.0105263",75,"भक्तपुर","Bhaktapur","Metadata"
"m_dist_perm","11",4,"0.0210526",76,"भोजपुर","Bhojpur","Metadata"
"m_dist_perm","12",4,"0.0210526",77,"चितवन","Chitawan","Metadata"
"m_dist_perm","15",1,"0.0052632",80,"दाङ","Dang","Metadata"
"m_dist_perm","17",11,"0.0578947",82,"धादिङ","Dhading","Metadata"
"m_dist_perm","19",1,"0.0052632",84,"धनुषा","Dhanusa","Metadata"
"m_dist_perm","20",6,"0.0315789",85,"दोलखा","Dolakha","Metadata"
"m_dist_perm","23",15,"0.0789474",88,"गोरखा","Gorkha","Metadata"
"m_dist_perm","26",1,"0.0052632",91,"इलाम","Ilam","Metadata"
"m_dist_perm","28",2,"0.0105263",93,"झापा","Jhapa","Metadata"
"m_dist_perm","34",9,"0.0473684",99,"कास्की","Kaski","Metadata"
"m_dist_perm","35",17,"0.0894737",100,"काठमाडौँ","Kathmandu","Metadata"
"m_dist_perm","36",2,"0.0105263",101,"काभ्रेपलान्चोक","Kavrepalanchok","Metadata"
"m_dist_perm","37",6,"0.0315789",102,"खोटाँग","Khotang","Metadata"
"m_dist_perm","38",8,"0.0421053",103,"ललितपुर","Lalitpur","Metadata"
"m_dist_perm","39",2,"0.0105263",104,"लमजुङ","Lamjung","Metadata"
"m_dist_perm","4",1,"0.0052632",69,"बैतडी","Baitadi","Metadata"
"m_dist_perm","41",1,"0.0052632",106,"मकवानपुर","Makwanpur","Metadata"
"m_dist_perm","43",4,"0.0210526",108,"मोरंग","Morang","Metadata"
"m_dist_perm","49",4,"0.0210526",114,"नुवाकोट","Nuwakot","Metadata"
"m_dist_perm","50",1,"0.0052632",115,"ओखलढुंगा","Okhaldhunga","Metadata"
"m_dist_perm","53",1,"0.0052632",118,"पर्वत","Parbat","Metadata"
"m_dist_perm","56",5,"0.0263158",121,"रामेछाप","Ramechhap","Metadata"
"m_dist_perm","57",10,"0.0526316",122,"रसुवा","Rasuwa","Metadata"
"m_dist_perm","60",1,"0.0052632",125,"पूर्वी रूकुम","Rukum East","Metadata"
"m_dist_perm","61",1,"0.0052632",126,"पश्चिमी रूकुम","Rukum West","Metadata"
"m_dist_perm","64",8,"0.0421053",129,"संखुवासभा","Sankhuwasabha","Metadata"
"m_dist_perm","66",2,"0.0105263",131,"सर्लाही","Sarlahi","Metadata"
"m_dist_perm","67",3,"0.0157895",132,"सिन्धुली","Sindhuli","Metadata"
"m_dist_perm","68",3,"0.0157895",133,"सिन्धुपाल्चोक","Sindhupalchok","Metadata"
"m_dist_perm","70",39,"0.2052632",135,"सोलुखुम्बू","Solukhumbu","Metadata"
"m_dist_perm","71",3,"0.0157895",136,"सुनसरी","Sunsari","Metadata"
"m_dist_perm","73",6,"0.0315789",138,"स्याङग्जा","Syangja","Metadata"
"m_dist_perm","74",2,"0.0105263",139,"तनहुँ","Tanahu","Metadata"
"m_dist_perm","77",1,"0.0052632",142,"उदयपुर","Udayapur","Metadata"
"m_dist_perm","8",1,"0.0052632",73,"बारा","Bara","Metadata"
"m_dist_temp","10",4,"0.0210526",152,"भक्तपुर","Bhaktapur","Metadata"
"m_dist_temp","11",1,"0.0052632",153,"भोजपुर","Bhojpur","Metadata"
"m_dist_temp","12",3,"0.0157895",154,"चितवन","Chitawan","Metadata"
"m_dist_temp","17",1,"0.0052632",159,"धादिङ","Dhading","Metadata"
"m_dist_temp","20",3,"0.0157895",162,"दोलखा","Dolakha","Metadata"
"m_dist_temp","23",1,"0.0052632",165,"गोरखा","Gorkha","Metadata"
"m_dist_temp","34",20,"0.1052632",176,"कास्की","Kaski","Metadata"
"m_dist_temp","35",132,"0.6947368",177,"काठमाडौँ","Kathmandu","Metadata"
"m_dist_temp","36",1,"0.0052632",178,"काभ्रेपलान्चोक","Kavrepalanchok","Metadata"
"m_dist_temp","38",9,"0.0473684",180,"ललितपुर","Lalitpur","Metadata"
"m_dist_temp","41",1,"0.0052632",183,"मकवानपुर","Makwanpur","Metadata"
"m_dist_temp","43",1,"0.0052632",185,"मोरंग","Morang","Metadata"
"m_dist_temp","53",1,"0.0052632",195,"पर्वत","Parbat","Metadata"
"m_dist_temp","57",1,"0.0052632",199,"रसुवा","Rasuwa","Metadata"
"m_dist_temp","64",1,"0.0052632",206,"संखुवासभा","Sankhuwasabha","Metadata"
"m_dist_temp","68",1,"0.0052632",210,"सिन्धुपाल्चोक","Sindhupalchok","Metadata"
"m_dist_temp","70",7,"0.0368421",212,"सोलुखुम्बू","Solukhumbu","Metadata"
"m_dist_temp","73",2,"0.0105263",215,"स्याङग्जा","Syangja","Metadata"
"m_edu_levl","1",1,"0.0052632",220,"निरक्षर","No education","Metadata"
"m_edu_levl","2",19,"0.1",221,"अक्षर चिन्ने","Can read and write","Metadata"
"m_edu_levl","3",45,"0.2368421",222,"एस्.एल.सी.","SLC or equivalent","Metadata"
"m_edu_levl","4",66,"0.3473684",223,"+२' वा सो सरह","10+2 or equivalent","Metadata"
"m_edu_levl","5",44,"0.2315789",224,"स्नातक","Undergaduate or equivalent","Metadata"
"m_edu_levl","6",15,"0.0789474",225,"स्नातकोत्तर वा माथि","Master's or higher","Metadata"
"m_gender","1",169,"0.8894737",226,"पुरुष","Male","Metadata"
"m_gender","2",21,"0.1105263",227,"महिला","Female","Metadata"
"m_mun_perm","1001",2,"0.0740741",229,"सुर्यविनायक नगरपालिका","Suryabinayak Municipality","Metadata"
"m_mun_perm","3501",17,"0.6296296",230,"शंखरापुर नगरपालिका","Shankharapur Municipality","Metadata"
"m_mun_perm","3801",8,"0.2962963",231,"महाङ्काल गाउँपालिका","Mahankal Municipality","Metadata"
"m_mun_temp","1001",4,"0.0275862",232,"सुर्यविनायक नगरपालिका","Suryabinayak Municipality","Metadata"
"m_mun_temp","3501",132,"0.9103448",233,"शंखरापुर नगरपालिका","Shankharapur Municipality","Metadata"
"m_mun_temp","3801",9,"0.062069",234,"महाङ्काल गाउँपालिका","Mahankal Municipality","Metadata"
"m_years_of_experience","1",15,"0.0789474",235,"०-२ वर्ष","0 to 2 years","Metadata"
"m_years_of_experience","2",31,"0.1631579",236,"३-५ वर्ष","3 to 5 years","Metadata"
"m_years_of_experience","3",71,"0.3736842",237,"६-१० वर्ष","6 to 10 years","Metadata"
"m_years_of_experience","4",35,"0.1842105",238,"११-१५ बर्ष","11 to 15 years","Metadata"
"m_years_of_experience","5",38,"0.2",239,"१५ वर्ष भन्दा बढी","15 years or more","Metadata"
"o_econ_impact_fml_income_chng_21_v_19","1",13,"0.0684211",240,"कुल आय लगभग उत्तिक्कै हुन्छ होला","Will stay the same","Outlook"
"o_econ_impact_fml_income_chng_21_v_19","2",12,"0.0631579",241,"कुल आय एक-चौथाई (२५%)ले घट्छ होला","Will reduce by 25%","Outlook"
"o_econ_impact_fml_income_chng_21_v_19","3",13,"0.0684211",242,"कुल आय आधि (५०%)ले घट्छ होला","Will reduce by 50%","Outlook"
"o_econ_impact_fml_income_chng_21_v_19","4",32,"0.1684211",243,"कुल आय तीन-चौथाई (७५%)ले घट्छ होला","Will reduce by 75%","Outlook"
"o_econ_impact_fml_income_chng_21_v_19","5",116,"0.6105263",244,"कुल आय लगभग शुन्य (०%) हुन्छ होला","Will reduce to zero","Outlook"
"o_econ_impact_fml_income_chng_21_v_19","6",4,"0.0210526",245,"कुल आय बढ्छ होला","Will grow","Outlook"
"o_econ_impact_how_long_months","1",9,"0.0473684",246,"६ महिना भन्दा कम","Less than 6 months","Outlook"
"o_econ_impact_how_long_months","2",65,"0.3421053",247,"६ देखि १२ महिना सम्म","6 to 12 months","Outlook"
"o_econ_impact_how_long_months","3",68,"0.3578947",248,"१३ देखि २४ महिना सम्म","13 to 24 months","Outlook"
"o_econ_impact_how_long_months","4",48,"0.2526316",249,"२४ महिना भन्दा बढी","24 months or more","Outlook"
"o_empl_status_to_nrml_how_long_months","1",4,"0.0210526",250,"तुरुन्तै","Immediately","Outlook"
"o_empl_status_to_nrml_how_long_months","2",13,"0.0684211",251,"सुचारु भएको ३ महिना भित्र","Within 3 months","Outlook"
"o_empl_status_to_nrml_how_long_months","3",56,"0.2947368",252,"सुचारु भएको १२ महिना भित्र","Within 12 months","Outlook"
"o_empl_status_to_nrml_how_long_months","4",2,"0.0105263",253,"म पर्यटन क्षेत्रमा अब काम नगर्ने भएको छु","I'm planning to leave the tourism sector","Outlook"
"o_empl_status_to_nrml_how_long_months","5",115,"0.6052632",254,"केहि भन्न सकिंदैन","Can't say","Outlook"
"p_econ_outstndng_loans_self","1",16,"0.0842105",255,"छैन","No","Preparedness"
"p_econ_outstndng_loans_self","2",174,"0.9157895",256,"छ","Yes","Preparedness"
"p_econ_self_savings_chng_today_v_19","1",7,"0.0368421",257,"लगभग उत्तिकै बाँकी छ","Has stayed the same","Preparedness"
"p_econ_self_savings_chng_today_v_19","2",8,"0.0421053",258,"तीन-चौथाई (७५%) बाँकी छ","Has reduced to 75%","Preparedness"
"p_econ_self_savings_chng_today_v_19","3",2,"0.0105263",259,"आधि (५०%) बाँकी छ","Has reduced to 50%","Preparedness"
"p_econ_self_savings_chng_today_v_19","4",88,"0.4631579",260,"एक-चौथाई (२५%) बाँकी छ","Has reduced to 25%","Preparedness"
"p_econ_self_savings_chng_today_v_19","5",84,"0.4421053",261,"लगभग शुन्य बाँकी छ","Has reduced to zero","Preparedness"
"p_econ_self_savings_chng_today_v_19","6",1,"0.0052632",262,"बचत बढेको छ","Has grown","Preparedness"
"p_hlth_received_hhs_training_self","1",181,"0.9526316",263,"छैन","No","Preparedness"
"p_hlth_received_hhs_training_self","2",9,"0.0473684",264,"छ","Yes","Preparedness"
"p_hlth_vaccinated_self","1",100,"0.5263158",265,"छैन","No","Preparedness"
"p_hlth_vaccinated_self","2",90,"0.4736842",266,"छ","Yes","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","1",31,"0.1631579",267,"१ जना (म मात्रै)","Only me","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","2",16,"0.0842105",268,"२ जना","2 people","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","3",105,"0.5526316",269,"३-५ जना","3 to 5 people","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_post_covid","4",38,"0.2",270,"५ जना भन्दा बढी","6 people or more","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","1",14,"0.0736842",271,"१ जना (म मात्रै)","Only me","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","2",23,"0.1210526",272,"२ जना","2 people","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","3",108,"0.5684211",273,"३-५ जना","3 to 5 people","Preparedness"
"p_lvlhd_num_depndnt_fml_membrs_pre_covid","4",45,"0.2368421",274,"५ जना भन्दा बढी","6 people or more","Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","1",121,"0.6368421",275,"शुन्य (०) जना","Only me","Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","2",40,"0.2105263",276,"१-२ जना","2 people","Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","3",22,"0.1157895",277,"३-५ जना","3 to 5 people","Preparedness"
"p_lvlhd_num_depndnt_need_fml_membrs_post_covid","4",7,"0.0368421",278,"५ जना भन्दा बढी","6 people or more","Preparedness"
"p_hlth_info_covid_src","1",135,"0.710526",279,"परिवार जन तथा छिमेकी","Family and friends","Preparedness"
"p_hlth_info_covid_src","2",25,"0.131579",280,"सामाजिक संजाल","Social media","Preparedness"
"p_hlth_info_covid_src","3",149,"0.784211",281,"रेडियो","Radio","Preparedness"
"p_hlth_info_covid_src","4",72,"0.378947",282,"टेलिभिजन","Television","Preparedness"
"p_hlth_info_covid_src","5",104,"0.547368",283,"पत्र-पत्रिका","Newspapers","Preparedness"
"p_hlth_info_covid_src","6",170,"0.894737",284,"नजिकैको स्वास्थ्य सेवा","Nearby health service provider","Preparedness"
"p_hlth_info_covid_src","7",187,"0.984211",285,"अन्य","Other","Preparedness"
"p_hlth_hhs_training_src","1",9,"0.0473684",287,"सरकारी निकायबाट","Government","Preparedness"
"p_hlth_hhs_training_src","2",8,"0.0421053",288,"गैर-सरकारी संघ-संस्थाबाट","NGO","Preparedness"
"p_hlth_hhs_training_src","3",6,"0.0315789",289,"रोजगारदाताबाट","Employer","Preparedness"
"p_hlth_hhs_training_src","4",3,"0.0157895",290,"पर्यटकीय संघ-संस्थाबाट (जस्तै होटेल व्यवसाय महासंघ, TAAN, HAN, UNITRAV, JOTTUF आदि)","Hotel / workers associations","Preparedness"
"p_hlth_hhs_training_src","5",8,"0.0421053",291,"अन्य","Other","Preparedness"
"p_econ_hhd_items_pre_covid","1",78,"0.410526",293,"जग्गा / जमिन","Land","Preparedness"
"p_econ_hhd_items_pre_covid","2",62,"0.326316",294,"टेलिभिजन","Television","Preparedness"
"p_econ_hhd_items_pre_covid","3",121,"0.636842",295,"केबुल टेलिभिजन","Cable TV connection","Preparedness"
"p_econ_hhd_items_pre_covid","4",111,"0.584211",296,"कम्प्युटर / ल्याप्टप","Computer / laptop","Preparedness"
"p_econ_hhd_items_pre_covid","5",90,"0.473684",297,"इन्टरनेट","Internet","Preparedness"
"p_econ_hhd_items_pre_covid","6",156,"0.821053",298,"टेलिफोन","Telephone","Preparedness"
"p_econ_hhd_items_pre_covid","7",19,"0.1",299,"मोबाइल फोन","Mobile phone","Preparedness"
"p_econ_hhd_items_pre_covid","8",125,"0.657895",300,"रेफ्रीजरेटर","Refrigerator","Preparedness"
"p_econ_hhd_items_pre_covid","9",107,"0.563158",301,"मोटरसाइकल","Motorcycle","Preparedness"
"p_econ_hhd_items_pre_covid","10",188,"0.989474",302,"पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for self/family use","Preparedness"
"p_econ_hhd_items_pre_covid","11",185,"0.973684",303,"व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for commercial use","Preparedness"
"p_econ_hhd_items_pre_covid","12",186,"0.978947",304,"माथिका कुनै पनि सुविधाहरू नभएको","None of the above","Preparedness"
"p_econ_hhd_items_post_covid","1",91,"0.478947",305,"जग्गा / जमिन","Land","Preparedness"
"p_econ_hhd_items_post_covid","2",91,"0.478947",306,"टेलिभिजन","Television","Preparedness"
"p_econ_hhd_items_post_covid","3",136,"0.715789",307,"केबुल टेलिभिजन","Cable TV connection","Preparedness"
"p_econ_hhd_items_post_covid","4",136,"0.715789",308,"कम्प्युटर / ल्याप्टप","Computer / laptop","Preparedness"
"p_econ_hhd_items_post_covid","5",114,"0.6",309,"इन्टरनेट","Internet","Preparedness"
"p_econ_hhd_items_post_covid","6",165,"0.868421",310,"टेलिफोन","Telephone","Preparedness"
"p_econ_hhd_items_post_covid","7",21,"0.110526",311,"मोबाइल फोन","Mobile phone","Preparedness"
"p_econ_hhd_items_post_covid","8",141,"0.742105",312,"रेफ्रीजरेटर","Refrigerator","Preparedness"
"p_econ_hhd_items_post_covid","9",127,"0.668421",313,"मोटरसाइकल","Motorcycle","Preparedness"
"p_econ_hhd_items_post_covid","10",188,"0.989474",314,"पारिवारिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for self/family use","Preparedness"
"p_econ_hhd_items_post_covid","11",189,"0.994737",315,"व्यावसायिक प्रयोजनको चार पांग्रे मोटर/सवारी साधन","Four wheeler for commercial use","Preparedness"
"p_econ_hhd_items_post_covid","12",181,"0.952632",316,"माथिका कुनै पनि सुविधाहरू नभएको","None of the above","Preparedness"
"o_rcvry_chllng_trsm_revival","1",81,"0.426316",317,"कोभिड-१९ को सन्दर्भमा पर्यटकको बिश्वाश जित्ने","Winning tourists confidence","Outlook"
"o_rcvry_chllng_trsm_revival","2",34,"0.178947",318,"स्वास्थ्य र सुरक्षा उपायहरू सुनिश्चित गर्ने","Ensuring HHS Compliance\","Outlook"
"o_rcvry_chllng_trsm_revival","3",70,"0.368421",319,"आर्थिक चुनौतीहरू","Overcoming financial challenges","Outlook"
"o_rcvry_chllng_trsm_revival","4",60,"0.315789",320,"पर्यटकको संख्यामा आउने कमि",NA,"Outlook"
"o_rcvry_chllng_trsm_revival","5",139,"0.731579",321,"स्रोत बजार (Source market) को मांग र आवश्यकता सही ढङ्गमा बुझ्ने",NA,"Outlook"
"o_rcvry_chllng_trsm_revival","6",184,"0.968421",322,"अन्य",NA,"Outlook"
"o_rcvry_chllng_trsm_revival","7",189,"0.994737",323,"म संलग्न रहेको पर्यटन क्षेत्रमा कुनै किसिमका चुनौतीहरू छैनन्",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","1",138,"0.726316",325,"घर/कोठा भाडा तिर्न सकिन्न (आम्सिक)",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","2",70,"0.368421",326,"घर/कोठा भाडा तिर्न सकिन्न (पूर्ण)",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","3",71,"0.373684",327,"स्वास्थ्य सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","4",91,"0.478947",328,"शैक्षिक सेवाको लागि आवश्यक खर्च जुटाउन सकिन्न",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","5",71,"0.373684",329,"खानपिनको लागि आवश्यक खर्च जुटाउन सकिन्न",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","6",95,"0.5",330,"ऋण तथा सापटी लिन सकिन्न",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","7",64,"0.336842",331,"ऋण तथा सापटी तिर्न सकिन्न",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","8",186,"0.978947",332,"अन्य",NA,"Outlook"
"o_impct_to_self_nxt_6_mnths","9",186,"0.978947",333,"मलाई कोभिड-१९ ले कुनै प्रकारको अवस्था भोग्नु नपर्ला",NA,"Outlook"
"n_rcvry_preferred_incentives","1",138,"0.726316",335,"स्वास्थ्य सम्बन्धि तालिम वा पुन:प्रशिक्षण",NA,"Need"
"n_rcvry_preferred_incentives","2",86,"0.452632",336,"रोजगारीमूलक तालिम वा पुन:प्रशिक्षण",NA,"Need"
"n_rcvry_preferred_incentives","3",109,"0.573684",337,"नयाँ सीप सिक्ने अवसर",NA,"Need"
"n_rcvry_preferred_incentives","4",105,"0.552632",338,"नयाँ रोजगारीको अवसर",NA,"Need"
"n_rcvry_preferred_incentives","5",63,"0.331579",339,"सहुलियत दरमा ऋण",NA,"Need"
"n_rcvry_preferred_incentives","6",120,"0.631579",340,"ब्याज दरमा बिशेष छूट",NA,"Need"
"n_rcvry_preferred_incentives","7",147,"0.773684",341,"करमा छूट",NA,"Need"
"n_rcvry_preferred_incentives","8",146,"0.768421",342,"बैंक आदि लगायतको किस्ता तिर्ने अवधि बढाउने वा केहि समयका लागि किस्ता तिर्न नपर्ने (Deferral or extension of EMI periods)",NA,"Need"
"n_rcvry_preferred_incentives","9",88,"0.463158",343,"सामाजिक सुरक्षाको व्यवस्था",NA,"Need"
"n_rcvry_preferred_incentives","10",84,"0.442105",344,"अनुदान",NA,"Need"
"n_rcvry_preferred_incentives","11",141,"0.742105",345,"मानसिक तनाव कम गर्न स्वास्थ्य परामर्श",NA,"Need"
"n_rcvry_preferred_incentives","12",189,"0.994737",346,"अन्य",NA,"Need"
"n_rcvry_preferred_incentives","13",189,"0.994737",347,"मलाई कोभिड-१९ ले कुनै प्रकारको असर गरेन",NA,"Need"
"i_empl_covid_effects","1",40,"0.210526",349,"रोजगार गुमाउनुपर्यो","Lost job","Impact"
"i_empl_covid_effects","2",160,"0.842105",350,"स्व-रोजगार गुमाउनुपर्यो","Lost self-employment","Impact"
"i_empl_covid_effects","3",164,"0.863158",351,"मन नलागेको काम गर्नुपर्यो","Took up ininteresting job","Impact"
"i_empl_covid_effects","4",124,"0.652632",352,"तलब कटौती भयो","Salary cut","Impact"
"i_empl_covid_effects","5",157,"0.826316",353,"पालो गरेर/कुरेर काम गर्नुपर्यो (Rotational employment)","Rotational employment","Impact"
