"","id","perm_closed","pay_loans","get_funds","pay_taxes","op_cost","labor","get_custs","none","type","coordinates","X_m_coodinates_latitude","X_m_coodinates_longitude","name","sub_grp","lat","lng"
"55",24,FALSE,"1","0","0","1","0","0","0","1","28.21224 83.9626",28.21224,83.9626,"Harry guest house and restaurant",4,28.21224,83.9626
"56",25,FALSE,"0","1","1","1","1","1","0","6","28.2198688 83.9580593",28.2198688,83.9580593,"3 Sisters Adventure Trekking P(Ltd)",6,28.2198688,83.9580593
"57",27,FALSE,"0","0","1","1","0","1","0","3","27.7054130197592 85.3489936269846",27.7054130197592,85.3489936269846,"Wish List Nepal Tours and Travels",5,27.7054130197592,85.3489936269846
"58",30,FALSE,"1","0","0","0","0","1","0","3","27.7650888094923 85.363349712796",27.7650888094923,85.363349712796,"Nepal Pyramids Pvt Ltd",5,27.7650888094923,85.363349712796
"59",31,FALSE,"1","0","0","1","0","1","0","1","28.20794 83.95855",28.20794,83.95855,"Tourism",4,28.20794,83.95855
"60",33,FALSE,"1","0","0","0","0","0","0","5","27.7146686256428 85.3109832980832",27.7146686256428,85.3109832980832,"Splash nepal adventure",2,27.7146686256428,85.3109832980832
"61",37,FALSE,"1","1","1","1","1","1","0","2","27.7141228 85.3116181",27.7141228,85.3116181,"Little buddha restaurant &lounge bar",1,27.7141228,85.3116181
"62",38,FALSE,"0","0","0","1","0","1","0","8","27.7169496294368 85.310175951392",27.7169496294368,85.310175951392,"Eco craft collection",3,27.7169496294368,85.310175951392
"63",39,FALSE,"0","0","1","1","0","1","0","4","27.7155286407712 85.3113662974226",27.7155286407712,85.3113662974226,"Royal handicraft",5,27.7155286407712,85.3113662974226
"64",40,FALSE,"1","1","1","1","0","0","0","6","27.7119692416278 85.3110869262584",27.7119692416278,85.3110869262584,"Nepal Ascent Treks",1,27.7119692416278,85.3110869262584
"65",47,FALSE,"1","0","1","1","1","1","0","4","27.713195 85.3122775",27.713195,85.3122775,"Naya Nepal collection and export pvt.ltd",1,27.713195,85.3122775
"66",48,FALSE,"0","0","0","1","1","1","0","1","28.2072939 83.9578631",28.2072939,83.9578631,"Mechi resort Pvt Ltd & Maina travels and tours Pvt Ltd",6,28.2072939,83.9578631
"67",52,FALSE,"1","0","0","0","0","0","0","2","27.68076 85.31722",27.68076,85.31722,"Downtown Restaurant",2,27.68076,85.31722
"68",53,FALSE,"1","1","1","1","0","1","0","4","27.7135681946502 85.3125867485289",27.7135681946502,85.3125867485289,"Mount everest souvenir house",1,27.7135681946502,85.3125867485289
"69",56,FALSE,"0","0","0","0","1","1","0","6","27.7104423 85.3109739",27.7104423,85.3109739,"Apex himalaya trek and expedition",6,27.7104423,85.3109739
"70",57,FALSE,"1","1","1","1","1","1","0","3","27.7392974199588 85.3239723928859",27.7392974199588,85.3239723928859,"Ghumante The Traveller adventure pvt ltd",1,27.7392974199588,85.3239723928859
"71",59,FALSE,"1","1","0","1","0","1","0","1","27.7130878 85.3281444",27.7130878,85.3281444,"Hotel Crown Plaza",4,27.7130878,85.3281444
"72",63,FALSE,"1","0","0","0","0","0","0","2","27.7160368463001 85.3104862262585",27.7160368463001,85.3104862262585,"Kailash cafe & bar",2,27.7160368463001,85.3104862262585
"73",65,FALSE,"1","0","0","1","0","1","0","1","27.7210567730833 85.3653754560733",27.7210567730833,85.3653754560733,"Green Boutique Hotel",4,27.7210567730833,85.3653754560733
"74",70,FALSE,"1","0","1","1","0","1","0","4","27.7207596166803 85.3607724987554",27.7207596166803,85.3607724987554,"Demeter Handicrafts",5,27.7207596166803,85.3607724987554
"75",71,FALSE,"0","0","1","1","0","1","0","6","27.7166059299288 85.3117833730153",27.7166059299288,85.3117833730153,"Nepal Highland Treks P Ltd",5,27.7166059299288,85.3117833730153
"76",72,FALSE,"1","0","0","0","0","0","0","1","27.7209932 85.3118557",27.7209932,85.3118557,"Kathmandu cityhill Apartmnet",2,27.7209932,85.3118557
"77",73,FALSE,"0","0","0","0","0","1","0","8","27.716084576286 85.3099118032157",27.716084576286,85.3099118032157,"Krishna handicraft",3,27.716084576286,85.3099118032157
"78",74,FALSE,"1","0","0","0","0","0","0","8","27.7130115973909 85.3125155738383",27.7130115973909,85.3125155738383,"Mithila women handicraft",2,27.7130115973909,85.3125155738383
"79",75,FALSE,"1","1","1","1","0","1","0","4","27.71892 85.3122",27.71892,85.3122,"Ashirwad export",1,27.71892,85.3122
"80",76,FALSE,"1","1","1","1","1","1","0","6","27.710411302506 85.3129580931116",27.710411302506,85.3129580931116,"Golden Cloud Adventure P. Ltd.",1,27.710411302506,85.3129580931116
"81",79,FALSE,"1","0","1","0","0","1","0","3","27.7176441116934 85.3093493859829",27.7176441116934,85.3093493859829,"Attractive Travels and Tours Pvt. Ltd.",5,27.7176441116934,85.3093493859829
"82",83,FALSE,"0","0","0","1","0","1","0","3","27.6882985387026 85.3324406541961",27.6882985387026,85.3324406541961,"Carrot holidays pvt ltd",3,27.6882985387026,85.3324406541961
"84",88,FALSE,"0","0","0","0","0","1","0","4","27.7162829183416 85.3101437234923",27.7162829183416,85.3101437234923,"Lotus handicraft",3,27.7162829183416,85.3101437234923
"85",91,FALSE,"1","1","1","1","1","1","0","1","27.5753519138286 84.5016726992705",27.5753519138286,84.5016726992705,"Hotel Tharu Garden",1,27.5753519138286,84.5016726992705
"86",93,FALSE,"1","1","1","1","1","1","0","6","27.7180005590084 85.3097967996561",27.7180005590084,85.3097967996561,"Backpacker Treks & Expedition Pvt. Ltd",1,27.7180005590084,85.3097967996561
"87",94,FALSE,"0","1","1","0","1","0","0","9","27.6924011815381 85.3301440109144",27.6924011815381,85.3301440109144,"DBRAND SOLUTION PVT LTD",6,27.6924011815381,85.3301440109144
"88",95,FALSE,"1","0","0","0","0","0","0","1","27.7349334767156 85.3143232244077",27.7349334767156,85.3143232244077,"Agaman hotel",2,27.7349334767156,85.3143232244077
"90",98,FALSE,"1","0","1","1","0","0","0","2","27.7147492 85.3102089",27.7147492,85.3102089,"Reggae Bar Restaurant & lounge pvt ltd",5,27.7147492,85.3102089
"91",102,FALSE,"1","0","1","1","0","1","0","1","27.6632585317559 85.4449016109137",27.6632585317559,85.4449016109137,"Hotel Business",5,27.6632585317559,85.4449016109137
"92",108,FALSE,"1","0","1","1","0","1","0","6","27.7153213473598 85.3117415550944",27.7153213473598,85.3117415550944,"Tour and trekking and Expedition",5,27.7153213473598,85.3117415550944
"93",111,FALSE,"0","0","1","1","1","0","0","3","27.6742617216237 85.3691647550934",27.6742617216237,85.3691647550934,"Outlandish Nepal Holidays Ltd.",6,27.6742617216237,85.3691647550934
